episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible,source_artifact
1,158,32.0657,0.75,6,1,89,87,5,12,2302.52,0,python-ai/saved_models/marl/mappo_history.csv
2,202,-4.2453,0.675,11,6,92,91,1,5,2075.47,1,python-ai/saved_models/marl/mappo_history.csv
3,32,23.1674,0.775,8,3,96,96,2,12,2269.64,1,python-ai/saved_models/marl/mappo_history.csv
4,228,20.6245,0.725,8,2,83,83,5,9,2166.74,1,python-ai/saved_models/marl/mappo_history.csv
5,343,15.1894,0.725,10,2,81,80,2,12,2183.18,1,python-ai/saved_models/marl/mappo_history.csv
6,164,-0.0433,0.675,13,4,79,79,0,6,2068.62,1,python-ai/saved_models/marl/mappo_history.csv
7,277,-27.4073,0.6,16,6,84,84,1,4,1958.97,0,python-ai/saved_models/marl/mappo_history.csv
8,205,9.3799,0.65,9,5,81,81,4,4,2242.4,1,python-ai/saved_models/marl/mappo_history.csv
9,258,-4.5795,0.675,13,3,86,83,0,10,2042.19,0,python-ai/saved_models/marl/mappo_history.csv
10,44,2.7501,0.7,11,4,92,92,1,9,2218.86,0,python-ai/saved_models/marl/mappo_history.csv
11,184,-0.2059,0.65,11,4,82,82,4,9,1995.42,0,python-ai/saved_models/marl/mappo_history.csv
12,122,-12.7697,0.65,13,7,90,89,2,10,2148.6,0,python-ai/saved_models/marl/mappo_history.csv
13,236,6.1947,0.675,10,4,87,87,3,7,2074.86,0,python-ai/saved_models/marl/mappo_history.csv
14,328,-36.8323,0.575,17,6,88,88,0,8,1829.5,0,python-ai/saved_models/marl/mappo_history.csv
15,178,-1.0905,0.675,12,4,86,86,2,7,2144.14,0,python-ai/saved_models/marl/mappo_history.csv
16,487,-31.7293,0.575,16,7,80,78,0,3,1934.13,0,python-ai/saved_models/marl/mappo_history.csv
17,174,34.4184,0.8,8,1,79,78,4,12,2216.69,0,python-ai/saved_models/marl/mappo_history.csv
18,234,-2.1565,0.675,12,5,88,87,2,5,2123.04,1,python-ai/saved_models/marl/mappo_history.csv
19,386,-18.2549,0.65,14,5,82,82,1,5,1870.65,0,python-ai/saved_models/marl/mappo_history.csv
20,425,-4.0131,0.675,12,5,83,80,3,10,1982.85,1,python-ai/saved_models/marl/mappo_history.csv
21,486,-26.0244,0.575,14,5,89,87,3,5,1947.15,0,python-ai/saved_models/marl/mappo_history.csv
22,186,18.8863,0.725,8,3,91,91,3,12,2160.86,0,python-ai/saved_models/marl/mappo_history.csv
23,41,21.5262,0.775,8,4,93,93,1,14,2239.64,1,python-ai/saved_models/marl/mappo_history.csv
24,29,24.6744,0.775,8,4,91,91,1,20,2216.02,1,python-ai/saved_models/marl/mappo_history.csv
25,373,6.8939,0.7,11,4,86,85,1,6,2131.4,0,python-ai/saved_models/marl/mappo_history.csv
26,309,-27.5899,0.575,16,3,84,84,0,11,2088.74,0,python-ai/saved_models/marl/mappo_history.csv
27,359,-11.1084,0.65,13,6,81,81,3,5,2056.73,0,python-ai/saved_models/marl/mappo_history.csv
28,26,18.5536,0.725,9,3,84,83,2,13,2147.49,1,python-ai/saved_models/marl/mappo_history.csv
29,212,30.8306,0.8,7,4,92,90,1,14,2261.46,1,python-ai/saved_models/marl/mappo_history.csv
30,104,30.3855,0.775,6,3,94,94,3,16,2218.04,1,python-ai/saved_models/marl/mappo_history.csv
31,263,-10.0728,0.675,13,5,93,93,0,7,2003.78,1,python-ai/saved_models/marl/mappo_history.csv
32,22,15.6058,0.75,10,4,88,88,2,13,2099.88,0,python-ai/saved_models/marl/mappo_history.csv
33,299,-49.5674,0.525,18,6,92,92,0,6,2015.61,2,python-ai/saved_models/marl/mappo_history.csv
34,313,-16.9516,0.65,14,6,87,86,0,9,2005.76,1,python-ai/saved_models/marl/mappo_history.csv
35,221,-17.801,0.625,14,4,82,82,1,7,1961.62,1,python-ai/saved_models/marl/mappo_history.csv
36,336,-23.6344,0.6,16,5,81,81,0,8,2019.07,1,python-ai/saved_models/marl/mappo_history.csv
37,194,-5.6702,0.625,13,4,74,74,2,5,1958.1,0,python-ai/saved_models/marl/mappo_history.csv
38,138,13.3056,0.75,9,5,88,87,2,16,2151.49,1,python-ai/saved_models/marl/mappo_history.csv
39,71,12.344,0.7,9,4,85,85,1,14,2095.45,2,python-ai/saved_models/marl/mappo_history.csv
40,256,-1.9841,0.675,12,5,84,81,1,8,2101.24,1,python-ai/saved_models/marl/mappo_history.csv
