update,state_set,action,high_minus_low_probability,source_artifact
0,RANDOM,STAY,0.01834221531427116,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,RANDOM,MIGRATE_EDGE,0.016526735675197468,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,RANDOM,MIGRATE_CLOUD,-0.033189209077082435,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,RANDOM,PREEMPT_REROUTE,-0.0016797393253427458,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,UNION,STAY,0.002006630082791616,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,UNION,MIGRATE_EDGE,0.0007072178356834491,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,UNION,MIGRATE_CLOUD,-0.0024875544962471956,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,UNION,PREEMPT_REROUTE,-0.00022629302815466905,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,RANDOM,STAY,0.05311501305361083,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,RANDOM,MIGRATE_EDGE,-0.011971760166725465,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,RANDOM,MIGRATE_CLOUD,-0.038959677174982874,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,RANDOM,PREEMPT_REROUTE,-0.0021835752951389654,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,UNION,STAY,0.03565091908686363,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,UNION,MIGRATE_EDGE,-0.03150036465871214,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,UNION,MIGRATE_CLOUD,-0.003856384662594997,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,UNION,PREEMPT_REROUTE,-0.00029416937395324505,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,RANDOM,STAY,0.020324660863249522,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,RANDOM,MIGRATE_EDGE,0.021433669542068823,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,RANDOM,MIGRATE_CLOUD,-0.03988115952656317,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,RANDOM,PREEMPT_REROUTE,-0.0018771699942383717,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,UNION,STAY,-0.019947607364065034,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,UNION,MIGRATE_EDGE,0.024538590752172407,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,UNION,MIGRATE_CLOUD,-0.004338091785152685,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,UNION,PREEMPT_REROUTE,-0.00025289071699896446,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
3,RANDOM,STAY,0.03136849678851655,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
3,RANDOM,MIGRATE_EDGE,0.011863851042403006,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
3,RANDOM,MIGRATE_CLOUD,-0.04150043636333221,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
3,RANDOM,PREEMPT_REROUTE,-0.0017319112007473105,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
3,UNION,STAY,-0.005744042013443029,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
