update,episode,checkpoint,checkpoint_md5,lr_scale,state_set,n_decision,n_highrisk,n_lowrisk,delta_edge,p_edge_high_risk,p_edge_low_risk,greedy_edge_high_risk,greedy_edge_low_risk,stochastic_entropy_high_risk,stochastic_entropy_all_decision,max_probability_all_decision,fraction_max_probability_gt_099_all_decision,source_artifact
0,0,R2_trajectory_u000.pth,7e0819b44b3790f2aeeb97347042449d,1.0,RANDOM,4975,216,4757,0.016526735675197468,0.45505453632385645,0.438527800648659,0.08333333333333333,0.3697708639899096,0.8001410958490826,0.8412051716518641,0.44060163844769923,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
0,0,R2_trajectory_u000.pth,7e0819b44b3790f2aeeb97347042449d,1.0,UNION,74237,3592,70621,0.0007072178356834491,0.48589329053139635,0.4851860726957129,0.23106904231625836,0.3944294190113422,0.7256526622499427,0.7288596882689267,0.4866375749955855,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,8,R2_trajectory_u001.pth,8ad9a5e836794caa11da2b54de474f1b,1.0,RANDOM,4975,216,4757,-0.011971760166725465,0.40234500556080427,0.41431676572752973,0.1574074074074074,0.33949968467521546,0.7851739297229371,0.8296910591844043,0.5049058380318646,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
1,8,R2_trajectory_u001.pth,8ad9a5e836794caa11da2b54de474f1b,1.0,UNION,74237,3592,70621,-0.03150036465871214,0.4357209719452003,0.46722133660391246,0.2344097995545657,0.39081859503547106,0.7106078975239607,0.7193692889336317,0.5457431971143638,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,16,R2_trajectory_u002.pth,e61921a60b296e891cfdb96bd8625b39,0.9866666666666667,RANDOM,4975,216,4757,0.021433669542068823,0.4408730075315193,0.4194393379894505,0.3055555555555556,0.34202228295144,0.7862691743376835,0.8271720050988878,0.4988615585391845,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
2,16,R2_trajectory_u002.pth,e61921a60b296e891cfdb96bd8625b39,0.9866666666666667,UNION,74237,3592,70621,0.024538590752172407,0.4984081845506528,0.47386959379848037,0.6057906458797327,0.47129040936831823,0.7141072785808619,0.7159331689545861,0.5407846227254324,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
3,24,R2_trajectory_u003.pth,8c3c58edd39b7da75852590aa89cb25f,0.9733333333333334,RANDOM,4975,216,4757,0.011863851042403006,0.41078714143346856,0.39892329039106555,0.33796296296296297,0.3514820264872819,0.7755043501320533,0.8182270750820726,0.5234792335009455,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
3,24,R2_trajectory_u003.pth,8c3c58edd39b7da75852590aa89cb25f,0.9733333333333334,UNION,74237,3592,70621,0.013504332528831264,0.4757543685773433,0.46225003604851206,0.5097438752783965,0.437391144277198,0.7091487120343265,0.7101634140685913,0.5680664464104128,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
4,32,R2_trajectory_u004.pth,de02f9b893efe32a66372452034b1966,0.96,RANDOM,4975,216,4757,-0.023035114364869325,0.3823391366060133,0.40537425097088264,0.18055555555555555,0.3941559806600799,0.7574258524054623,0.7959058220696591,0.5563399063582396,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
4,32,R2_trajectory_u004.pth,de02f9b893efe32a66372452034b1966,0.96,UNION,74237,3592,70621,-0.019566675968605673,0.4433525643977264,0.4629192403663321,0.18624721603563474,0.42325937044221973,0.7059628774328087,0.6907641480762947,0.5941274213136853,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,40,R2_trajectory_u005.pth,69d2282566f0ab566fa91909233a155e,0.9466666666666667,RANDOM,4975,216,4757,0.009804584877357747,0.3737134684601592,0.36390888358280143,0.10185185185185185,0.34328358208955223,0.7600137483350343,0.774596464713588,0.5662400160063451,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,40,R2_trajectory_u005.pth,69d2282566f0ab566fa91909233a155e,0.9466666666666667,UNION,74237,3592,70621,-0.004109731884293311,0.40666167451201507,0.4107714063963084,0.10077951002227171,0.38315798416901486,0.6982619036840791,0.6702495486646999,0.6048785616497988,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,48,R2_trajectory_u006.pth,e790245d6ac0be3c11f1b3dff813c9ad,0.9333333333333333,RANDOM,4975,216,4757,0.011044131182309347,0.3343055583191691,0.32326142713685974,0.0,0.13348749211688038,0.7287805168161702,0.7409879813295687,0.5961908438996454,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,48,R2_trajectory_u006.pth,e790245d6ac0be3c11f1b3dff813c9ad,0.9333333333333333,UNION,74237,3592,70621,-0.014395345938966075,0.3499713482896285,0.3643666942285946,0.0,0.20213534217867207,0.66512749841894,0.6400126075486292,0.6293715002383035,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,56,R2_trajectory_u007.pth,156fcefe9590fdf907e40572e6bcc547,0.92,RANDOM,4975,216,4757,0.02281712716609302,0.3450659356183476,0.32224880845225456,0.1574074074074074,0.18057599327307125,0.7286589295509638,0.7312847740427576,0.6144381828164336,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,56,R2_trajectory_u007.pth,156fcefe9590fdf907e40572e6bcc547,0.92,UNION,74237,3592,70621,-0.005300483386249277,0.373327045222819,0.3786275286090683,0.1673162583518931,0.3004630350745529,0.6706540230086986,0.6396074866834731,0.6308345752252671,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,64,R2_trajectory_u008.pth,955b074d7257471ca215314b93e43140,0.9066666666666666,RANDOM,4975,216,4757,0.057165392684504046,0.3346740966792115,0.27750870399470745,0.16203703703703703,0.08240487702333403,0.7185960740638255,0.7030632324635904,0.6387790815794289,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
