node,t_fail,verdict,lead,run_lead,band_alarm,quiet_alarm,n_band,deg,max_p
2,29.1,STANDING_ALARM,10.0,20.0,0.1,1.0,10,1,0.08755946159362793
6,47.1,STANDING_ALARM,10.0,38.0,1.0,1.0,10,0,0.19125215709209442
0,48.1,STANDING_ALARM,10.0,38.0,1.0,0.9655172413793104,10,29,0.17205467820167542
6,122.1,STANDING_ALARM,10.0,14.0,1.0,0.5666666666666667,10,23,0.17205511033535004
0,178.1,STANDING_ALARM,10.0,25.0,1.0,0.9166666666666666,10,62,0.19128823280334473
7,178.1,STANDING_ALARM,10.0,18.0,1.0,0.8,10,2,0.19124794006347656
1,199.1,STANDING_ALARM,10.0,59.0,1.0,0.8333333333333334,10,62,0.9059977531433105
2,270.1,STANDING_ALARM,10.0,30.00000000000003,1.0,0.8305084745762712,10,68,0.1720544695854187
9,301.1,STANDING_ALARM,10.0,31.0,1.0,0.8305084745762712,10,87,0.17205461859703064
3,310.1,STANDING_ALARM,10.0,40.0,1.0,0.8305084745762712,10,28,0.08755946159362793
8,388.1,STANDING_ALARM,10.0,28.0,1.0,0.8333333333333334,10,17,0.14895130693912506
0,391.1,STANDING_ALARM,10.0,38.0,1.0,0.95,10,49,0.19130341708660126
7,406.1,STANDING_ALARM,10.0,36.0,1.0,0.8333333333333334,10,43,0.17205467820167542
7,589.1,STANDING_ALARM,10.0,21.0,1.0,0.8666666666666667,10,65,0.19127462804317474
6,630.1,STANDING_ALARM,10.0,90.0,1.0,1.0,10,49,0.14895188808441162
2,654.1,STANDING_ALARM,10.0,16.0,1.0,0.7666666666666667,10,27,0.19128774106502533
5,677.1,STANDING_ALARM,10.0,67.0,1.0,0.95,10,60,0.17205481231212616
6,807.1,STANDING_ALARM,10.0,47.0,1.0,0.8333333333333334,10,31,0.1912861317396164
1,818.1,STANDING_ALARM,10.0,28.0,1.0,0.8333333333333334,10,1,0.19129367172718048
7,844.1,STANDING_ALARM,10.0,64.0,1.0,0.9,10,82,0.19128017127513885
2,848.1,MISSED,,,0.0,0.7,10,37,0.039657142013311386
4,863.1,STANDING_ALARM,10.0,63.0,1.0,0.8833333333333333,10,56,0.9054648280143738
6,909.1,STANDING_ALARM,10.0,39.0,1.0,0.8333333333333334,10,17,0.17205502092838287
2,923.1,STANDING_ALARM,10.0,29.0,0.7,0.7666666666666667,10,38,0.1913001984357834
5,1009.1,STANDING_ALARM,10.0,34.0,1.0,0.9166666666666666,10,68,0.19128932058811188
2,1029.1,STANDING_ALARM,9.999999999999886,28.999999999999886,1.0,0.7833333333333333,10,27,0.1912604719400406
3,1072.1,STANDING_ALARM,10.0,42.0,1.0,0.8333333333333334,10,20,0.9054349064826965
6,1202.1,STANDING_ALARM,2.0,2.0,0.2,0.8,10,26,0.19126909971237183
7,1294.1,STANDING_ALARM,10.0,44.0,1.0,0.6666666666666666,10,33,0.148951917886734
7,1357.1,STANDING_ALARM,10.0,27.0,1.0,0.6226415094339622,10,1,0.17205439507961273
8,1402.1,STANDING_ALARM,2.0,2.0,0.2,0.6666666666666666,10,40,0.19127093255519867
7,1426.1,STANDING_ALARM,10.0,46.0,1.0,0.6610169491525424,10,23,0.17205464839935303
