episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,13.9314,0.7500,6,1,87,86,4,11,2288.15,0
2,202,-25.8117,0.6750,11,6,92,91,1,5,2075.47,1
3,32,0.8874,0.7750,8,3,96,96,2,12,2269.64,1
4,228,1.2885,0.7250,8,2,83,83,5,9,2166.79,1
5,343,-25.1914,0.6750,11,6,92,91,4,7,2131.70,1
6,164,-28.9981,0.6000,13,4,78,78,3,6,2024.11,1
7,277,-22.7903,0.6500,11,5,86,85,4,8,2194.99,0
8,205,-9.8950,0.6750,9,2,90,89,5,8,2307.28,0
9,258,-37.0379,0.6500,14,7,83,83,0,5,1971.84,0
10,44,0.7194,0.7750,9,2,90,90,1,12,2134.63,0
11,184,-15.4171,0.7000,10,4,86,86,5,9,2236.34,0
12,122,-47.6641,0.6000,15,8,89,88,1,10,1927.00,0
13,236,-19.0797,0.6750,11,4,84,84,3,3,2054.18,0
14,328,-16.8063,0.7000,11,5,84,84,2,11,2046.77,0
15,178,-23.7409,0.6750,12,8,83,82,0,4,2108.10,2
16,487,-18.2363,0.7250,11,6,90,86,1,7,2140.03,1
17,174,-1.5279,0.7500,8,4,89,88,4,15,2232.32,0
18,234,-13.4384,0.7000,10,6,83,83,5,6,2199.17,0
19,386,-49.3286,0.6000,15,7,86,85,2,8,1978.99,0
20,425,-20.9025,0.6750,12,4,87,87,1,7,1954.02,0
21,486,-44.9756,0.6000,15,5,85,84,1,8,1964.98,0
22,186,-28.6956,0.6500,12,4,88,88,3,9,1977.84,1
23,41,-14.1743,0.6500,9,1,93,93,4,11,2114.65,0
24,29,-9.4299,0.7000,10,2,87,86,2,7,2320.90,0
25,373,-59.8318,0.5750,17,7,88,87,2,3,1823.99,0
26,309,-20.9348,0.6750,11,3,86,86,2,5,2041.15,0
27,359,-34.5958,0.6250,12,5,92,92,3,6,1933.69,1
28,26,21.2077,0.7750,5,2,89,88,3,16,2415.88,0
29,212,5.9549,0.7250,8,1,86,85,3,7,2307.53,0
30,104,1.2700,0.7250,7,2,94,93,3,15,2218.51,0
31,263,-7.0694,0.7250,9,4,90,88,3,11,2317.95,0
32,22,-6.1585,0.7250,10,2,87,87,2,6,2156.86,1
33,299,-25.4031,0.6750,11,3,99,96,2,12,2045.23,0
34,313,-53.7588,0.5750,16,6,89,89,2,3,2110.48,0
35,221,-2.4633,0.7250,9,3,87,87,2,10,2325.81,0
36,336,-40.5328,0.6000,14,3,91,91,2,8,2095.14,0
37,194,-22.3778,0.6750,11,7,85,85,2,7,2052.38,0
38,138,13.0294,0.8000,6,2,92,90,5,16,2331.70,0
39,71,-12.1736,0.7250,10,4,89,89,2,6,2004.38,0
40,256,-10.0357,0.7250,10,4,87,85,2,9,2231.21,1
41,402,-46.7551,0.5750,13,9,87,87,3,7,1902.73,0
42,311,-41.9703,0.6500,14,6,88,88,2,6,1939.79,1
43,262,-6.9344,0.7500,10,4,88,88,0,6,2261.44,0
44,205,-11.8268,0.6750,10,3,85,85,3,5,2098.85,2
45,358,-66.7533,0.5500,17,8,86,86,1,5,1748.49,0
46,225,-33.0776,0.6500,14,4,86,86,2,2,2028.04,1
47,113,6.4138,0.7250,7,2,88,88,1,22,2227.88,3
48,123,-31.4104,0.6250,13,3,90,90,0,7,2068.04,1
49,274,-29.5809,0.6750,13,5,89,89,0,9,2049.52,0
50,295,-13.6100,0.7250,11,7,80,80,2,6,2136.62,2
51,68,-2.3585,0.7250,8,2,89,88,2,8,2120.46,0
52,111,-3.4162,0.7250,8,3,89,89,3,14,2174.34,1
53,164,-1.7218,0.7250,9,5,77,77,3,7,2206.65,0
54,248,-9.3579,0.7250,11,2,85,85,1,5,2051.74,0
55,157,-31.1381,0.6500,12,6,84,84,3,10,2010.28,0
