update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,32,-17.3898,-0.007102,17.292398,0.7877,0.001040,0.0766,3.5308,-0.5037,0.0378,1.0000,0.0173
2,64,-20.7780,0.004075,17.720078,0.7821,0.003586,0.0654,3.8218,-0.6603,0.0433,0.9867,0.0377
3,96,-22.3966,-0.002131,19.537764,0.6139,0.002493,0.0171,3.8008,-0.4970,0.0471,0.9733,0.0626
4,128,-25.1395,-0.058712,18.660787,0.7075,-0.002122,0.0498,3.9764,0.0265,0.0523,0.9600,0.1019
5,160,-19.7372,-0.062394,20.452153,0.5192,0.003458,0.0243,3.9885,-0.0186,0.0573,0.9467,0.1573
6,192,-16.0095,-0.040154,17.654636,0.4648,0.004768,0.0350,3.9792,0.0495,0.0693,0.9333,0.2093
7,224,-16.0600,-0.049968,17.291514,0.4562,0.004521,0.0440,3.9923,0.0276,0.0782,0.9200,0.2487
8,256,-15.2248,-0.007237,21.149834,0.3943,0.008135,0.0211,4.1529,0.2367,0.0778,0.9067,0.2479
9,288,-10.2518,0.004371,19.198091,0.4532,-0.005421,0.0357,4.0969,1.8386,0.0759,0.8933,0.2987
10,320,-13.8601,-0.001177,21.071327,0.4437,0.002136,0.0149,4.0668,1.5803,0.0754,0.8800,0.3007
11,352,-16.1448,-0.026382,21.241159,0.4104,0.009010,0.0484,4.0826,1.9618,0.0716,0.8667,0.3555
12,384,-13.4572,0.071125,20.953253,0.4701,-0.001081,0.0484,4.2575,0.8752,0.0751,0.8533,0.3998
13,416,-15.0681,-0.000344,21.829396,0.4164,0.001691,0.0064,4.2970,0.2943,0.0815,0.8400,0.4143
14,448,-15.5623,-0.101422,21.492636,0.3621,0.001076,0.0057,4.1571,0.7896,0.0823,0.8267,0.4565
15,480,-14.7970,-0.001566,17.977275,0.4483,0.003186,0.0129,3.9039,0.9434,0.0817,0.8133,0.4828
16,512,-8.8703,-0.015820,20.474881,0.4889,0.016037,0.0762,3.8962,0.8593,0.0792,0.8000,0.5058
17,544,-15.8432,-0.064418,20.849569,0.4113,0.012707,0.0244,3.8893,0.3148,0.0798,0.7867,0.5171
18,576,-13.4403,-0.000029,15.635055,0.4413,0.000894,0.0327,3.7947,1.7353,0.0705,0.7733,0.5299
19,608,-10.0756,-0.078175,15.267326,0.3733,0.004033,0.0297,3.6495,1.7970,0.0750,0.7600,0.5549
20,640,-15.0481,-0.000644,21.058475,0.4148,0.000893,0.0020,4.0893,0.1749,0.0737,0.7467,0.5182
21,672,-11.7510,0.031600,16.838719,0.4148,-0.002593,0.0020,3.8111,-0.5246,0.0771,0.7333,0.5564
22,704,-11.9466,-0.000749,18.189176,0.4162,0.001501,0.0107,3.8897,-0.1317,0.0778,0.7200,0.5687
23,736,-8.5459,0.025721,17.441794,0.4259,0.006477,0.0067,3.7223,-0.3811,0.0808,0.7067,0.5296
24,768,-8.7597,-0.000691,16.724314,0.4050,0.001338,0.0082,3.5603,-0.6645,0.0849,0.6933,0.5851
25,800,-17.8559,0.091494,13.815045,0.3573,0.002565,0.0158,3.7184,-0.0716,0.0879,0.6800,0.5621
26,832,-7.7868,0.021578,15.242838,0.3549,-0.000062,0.0059,3.5696,0.2915,0.0879,0.6667,0.6074
27,864,-9.6576,-0.045816,15.114199,0.3171,0.001320,0.0054,3.4764,0.3392,0.0814,0.6533,0.5537
28,896,-15.1107,0.036351,18.754855,0.3637,-0.000465,0.0239,3.7385,-1.5518,0.0915,0.6400,0.5802
29,928,-12.8993,-0.069096,15.754975,0.3176,0.001034,0.0097,3.5696,-1.3491,0.0858,0.6267,0.5784
30,960,-15.1038,-0.012533,19.901597,0.3843,-0.003174,0.0479,3.6669,-1.8009,0.0936,0.6133,0.5462
31,992,-12.8808,0.029998,15.053828,0.3568,-0.001681,0.0049,3.4052,-1.2618,0.0896,0.6000,0.6200
32,1024,-10.1765,-0.017196,15.103389,0.3338,0.000884,0.0077,3.5843,0.0893,0.0790,0.5867,0.5643
33,1056,-19.1446,0.050537,16.182006,0.3913,0.006091,0.0055,3.6088,-0.6875,0.0853,0.5733,0.5622
34,1088,-4.3075,-0.121612,18.171691,0.3837,0.004977,0.0351,3.4705,-0.2959,0.0828,0.5600,0.5467
35,1120,-12.2434,0.044083,15.062645,0.3618,0.003652,0.0092,3.4079,-0.0539,0.0823,0.5467,0.6055
36,1152,-15.1018,-0.012651,12.601530,0.3081,0.000958,0.0150,3.4550,0.1509,0.0823,0.5333,0.5908
37,1184,-12.7058,-0.037412,12.716028,0.3760,-0.001174,0.0125,3.4062,0.1054,0.0756,0.5200,0.6130
38,1216,-10.6546,-0.061872,15.581855,0.4059,0.001250,0.0073,3.3339,-0.7242,0.0782,0.5067,0.5823
39,1248,-11.3004,0.037171,14.655293,0.3792,0.000002,0.0037,3.3504,-0.8026,0.0796,0.4933,0.6301
40,1280,-14.9125,0.011378,13.841892,0.3843,0.002142,0.0077,3.3519,-0.1693,0.0826,0.4800,0.6014
