episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,16.6098,0.7250,9,4,80,80,3,4,2146.55,0
2,202,2.2694,0.7000,11,5,89,89,0,5,2168.29,1
3,32,2.9446,0.6750,11,3,91,89,2,10,2214.26,0
4,228,-13.6988,0.6250,14,2,84,84,1,3,1844.38,0
5,343,-23.7733,0.6250,14,6,94,92,3,7,1890.34,0
6,164,-16.4139,0.6000,13,3,88,88,2,3,1967.05,0
7,277,-3.8829,0.7000,12,6,87,87,2,6,2229.14,0
8,205,34.9508,0.7500,6,1,87,86,4,20,2362.67,1
9,258,-24.9869,0.6000,15,5,87,85,0,4,1934.90,0
10,44,44.1378,0.8000,6,0,87,87,1,13,2293.47,1
11,184,15.9524,0.7250,9,2,85,85,5,8,2275.60,0
12,122,38.6021,0.8000,6,2,83,83,3,15,2240.62,2
13,236,-8.2225,0.6250,12,4,81,81,3,5,2105.95,0
14,328,-15.8837,0.6000,13,3,93,90,3,11,2136.82,0
15,178,-3.7366,0.6750,12,5,88,88,2,11,2168.25,0
16,487,13.3733,0.6750,8,4,93,87,4,15,2234.83,1
17,174,-0.0707,0.6750,11,4,87,87,2,7,2076.08,1
18,234,23.3459,0.7750,9,4,83,82,1,8,2188.41,0
19,386,-17.9622,0.6250,15,5,78,78,1,5,1966.43,0
20,425,-29.4430,0.5750,16,5,82,82,0,7,1941.17,0
21,486,-16.4540,0.6250,13,7,86,86,2,6,1894.97,0
22,186,14.7185,0.7000,9,2,85,82,3,5,2102.66,0
23,41,4.9428,0.7000,12,3,81,81,0,10,2057.54,0
24,29,17.0590,0.7500,10,2,87,86,0,10,2129.48,0
25,373,-29.5697,0.6000,16,7,83,83,0,6,1914.07,1
26,309,14.2830,0.7000,9,1,92,91,4,13,2169.76,0
27,359,-18.2955,0.6000,15,3,84,83,0,5,1862.69,2
28,26,13.2031,0.7250,9,4,90,89,3,13,2157.18,0
29,212,9.9442,0.6750,10,1,84,84,1,7,2079.42,0
30,104,-2.1720,0.6750,12,5,84,84,0,12,2193.74,0
31,263,24.7784,0.7500,9,2,82,82,2,10,2265.64,1
32,22,-0.2998,0.6750,11,3,90,90,3,11,2086.80,0
33,299,9.0589,0.7500,10,3,90,90,4,12,2196.86,1
34,313,-7.6770,0.6500,13,3,83,79,2,12,2133.90,0
35,221,-3.2165,0.6750,12,5,81,81,2,6,2143.09,0
36,336,-15.8972,0.6500,14,6,84,82,2,10,2058.44,1
37,194,-10.4835,0.6500,13,5,76,76,2,7,2077.75,1
38,138,26.5551,0.7500,7,2,93,92,5,15,2330.23,0
39,71,6.8444,0.7250,11,6,89,88,1,11,2209.61,1
40,256,8.2146,0.7500,10,6,87,87,4,7,2271.83,0
41,402,-16.1724,0.6250,14,3,90,88,0,6,1914.75,0
42,311,-18.4369,0.6250,14,6,85,84,1,8,2090.90,2
43,262,11.7556,0.7250,10,4,85,85,3,6,2173.64,0
44,205,5.6535,0.7250,11,5,85,84,2,4,2131.84,0
45,358,13.3545,0.7000,10,4,76,72,2,12,2113.79,0
46,225,-19.2763,0.6250,15,6,80,80,0,2,2084.92,0
47,113,21.3468,0.7750,9,4,92,92,0,15,2288.80,0
48,123,27.0315,0.7500,7,1,90,90,3,19,2202.44,0
49,274,-17.4187,0.6500,14,7,81,81,1,6,1984.12,0
50,295,8.2872,0.7250,11,4,82,82,0,8,2141.65,1
51,68,7.5992,0.7250,11,2,92,92,0,5,2133.44,1
52,111,29.3275,0.7500,7,1,89,89,3,13,2233.51,1
53,164,25.0256,0.7000,6,1,89,89,6,7,2205.33,4
54,248,-10.6729,0.6250,13,4,79,78,2,4,1968.23,3
55,157,2.3448,0.7000,11,5,94,93,2,10,2191.30,0
56,282,27.8395,0.7750,7,4,92,92,3,7,2263.92,0
57,158,-2.6179,0.6500,12,5,81,81,1,10,2033.34,1
58,482,0.8016,0.7000,12,5,80,78,0,7,1903.65,0
59,347,-18.6992,0.6500,14,5,88,88,0,9,1904.69,0
60,184,21.4394,0.7500,8,2,92,91,4,6,2275.81,1
61,303,-7.5906,0.6500,13,2,83,83,1,8,1946.91,1
62,459,1.0768,0.7000,12,5,86,83,0,7,2020.88,0
63,164,3.2425,0.7000,11,4,85,85,2,11,2060.49,1
64,234,8.1739,0.7000,10,5,75,75,3,3,1997.43,4
65,163,44.5123,0.8000,5,1,88,88,2,13,2200.49,1
66,68,44.3035,0.8250,5,1,87,87,4,17,2271.21,0
67,77,10.1939,0.7250,10,5,86,86,3,12,2259.42,3
68,274,-4.0898,0.6500,12,5,91,91,1,5,2214.62,1
69,100,34.0350,0.7750,6,1,91,91,3,14,2251.14,3
70,192,38.3047,0.7750,7,1,85,85,2,10,2346.55,2
71,414,-31.7420,0.6000,16,7,87,86,1,5,1732.50,2
72,176,22.8903,0.7250,8,2,84,83,4,7,2246.00,0
73,115,42.2801,0.8000,5,1,82,81,3,18,2234.01,0
74,360,-42.7833,0.5500,18,7,78,78,0,5,1832.65,1
75,303,5.6685,0.7250,11,6,85,85,3,6,2132.92,1
76,65,9.6208,0.7000,10,1,86,86,2,13,1975.87,0
77,138,28.8630,0.7750,7,2,86,86,3,18,2268.47,1
78,81,28.4428,0.8000,7,4,90,90,2,14,2284.11,3
79,200,20.6720,0.7500,9,4,76,75,2,7,2162.98,0
80,45,24.6377,0.7750,8,3,86,86,1,16,2309.13,0
81,308,-5.4793,0.6750,13,5,82,82,2,8,2160.54,1
82,489,0.4338,0.6750,12,5,78,74,2,12,2032.97,1
83,385,-6.6120,0.6500,13,4,80,78,2,11,1980.67,1
84,406,6.9864,0.7000,11,5,78,76,2,11,2044.44,1
85,338,-14.4577,0.6750,13,8,91,91,0,7,2075.37,5
86,322,-4.9934,0.6750,13,4,81,81,0,12,2166.44,1
87,98,57.8433,0.9000,4,3,89,87,0,20,2383.88,0
88,173,5.0902,0.6750,11,2,75,74,3,6,2065.08,1
89,305,-1.5776,0.7000,12,6,84,83,0,8,2178.97,3
90,395,-0.1323,0.7000,12,5,83,82,0,7,1926.25,1
91,244,1.8356,0.6750,12,3,82,82,1,3,2016.50,2
92,389,-20.1437,0.6250,14,7,78,77,3,4,1862.21,4
93,353,-11.3737,0.6500,14,2,83,82,2,7,2105.05,3
94,219,12.1145,0.7000,10,3,84,83,2,4,2135.72,1
95,472,-0.1179,0.6750,12,5,77,73,1,12,1971.26,1
96,110,17.2779,0.7500,9,3,89,89,0,16,2187.70,0
97,226,3.8093,0.7000,10,5,84,84,5,7,2167.10,3
98,38,-1.7097,0.7000,12,6,87,87,1,10,2079.24,0
99,247,-8.8782,0.6500,14,6,71,71,0,3,2095.66,4
100,127,32.5747,0.7500,7,1,79,79,3,13,2185.50,1
101,399,-4.4633,0.6750,13,5,82,82,0,6,1989.46,1
102,240,27.7060,0.8000,8,4,85,85,3,7,2229.81,3
103,384,-52.3515,0.5250,19,8,80,80,0,4,1726.50,1
104,233,23.6312,0.7500,9,1,80,79,4,13,2186.17,0
105,294,-14.9545,0.6750,13,7,89,88,2,13,2119.08,0
106,239,-4.2138,0.6750,12,4,90,90,1,7,2126.36,0
107,429,-1.9169,0.7000,12,7,83,83,1,9,2077.42,3
108,279,-21.7095,0.6000,14,5,83,82,1,3,2056.77,0
109,417,-36.5719,0.5500,17,6,75,74,0,4,1799.18,1
110,422,-18.4937,0.6250,15,5,78,77,1,5,1837.25,0
111,293,-0.6773,0.7000,12,2,94,94,0,14,2115.49,2
112,331,-23.5057,0.6250,15,7,88,87,0,10,2097.15,7
113,454,4.2698,0.7000,11,4,84,81,0,8,2028.85,2
114,265,2.8299,0.6750,12,2,87,85,1,9,2103.61,2
115,254,4.1644,0.6750,12,4,74,72,1,2,2064.47,8
116,309,-7.4402,0.6500,13,6,80,80,1,5,2073.04,3
117,122,36.4075,0.8000,7,1,83,83,4,16,2282.74,4
118,62,-11.0737,0.6750,13,7,82,82,2,8,1967.84,2
119,235,7.3183,0.7250,10,5,88,87,3,3,2065.56,2
120,392,-3.0463,0.7000,12,6,80,77,2,6,1954.71,2
121,267,5.3161,0.7000,11,4,81,79,1,9,2074.42,10
122,127,35.2226,0.7750,7,0,86,86,1,16,2164.85,4
123,353,-14.1589,0.6250,15,2,82,82,0,13,2025.85,2
124,36,16.9242,0.7500,10,4,85,83,1,14,2211.99,1
125,176,5.2703,0.7250,11,5,79,79,2,5,2047.85,2
126,427,7.2367,0.7250,11,6,85,81,0,11,2065.82,5
127,37,33.3955,0.8000,7,3,84,84,2,8,2284.22,6
128,433,9.3253,0.7250,11,4,84,79,1,8,1958.16,1
129,376,-14.6777,0.6500,14,5,88,87,0,7,2015.55,4
130,275,12.0297,0.7500,10,4,87,85,2,9,2092.13,7
131,137,24.4809,0.7750,8,3,87,87,2,12,2215.22,8
132,258,11.5794,0.7250,10,4,83,80,2,6,2159.83,3
133,411,-16.1722,0.6500,14,7,72,72,3,6,1882.75,2
134,490,-5.9507,0.6250,11,4,83,81,3,5,1940.10,11
135,156,16.1226,0.7000,9,3,79,79,3,10,2018.22,6
136,303,6.4820,0.6750,11,4,81,81,1,8,2231.92,4
137,44,19.2297,0.7250,8,3,82,82,1,6,2092.27,8
138,485,-12.2548,0.6250,14,4,78,77,0,7,1915.60,2
139,323,5.8804,0.7250,11,6,87,87,0,13,2083.76,2
140,145,21.4411,0.7000,8,2,80,80,3,9,2142.79,1
141,305,24.0432,0.7750,9,3,83,83,2,16,2176.59,0
142,278,29.6608,0.7500,8,2,78,74,1,15,2276.34,2
143,198,5.5082,0.6750,10,6,73,73,3,5,2104.38,3
144,90,10.8701,0.7500,10,5,87,87,0,8,2142.70,7
145,134,11.1900,0.6750,10,3,74,74,2,14,2110.58,2
146,258,32.3997,0.8250,7,6,80,79,2,13,2176.29,9
147,439,6.2320,0.7000,12,4,74,73,0,4,1944.18,1
