update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,-0.1243,-0.034003,7.596994,0.7278,0.003896,0.0961,3.4047,-0.5060,0.0388,1.0000,0.0207
2,16,7.4045,-0.005887,7.004369,0.8413,0.004897,0.0487,3.6964,-1.0331,0.0408,0.9867,0.0323
3,24,-0.4830,0.039802,6.901304,0.7586,0.024943,0.0892,3.7358,-1.0110,0.0412,0.9733,0.0656
4,32,1.4840,-0.004602,8.258001,0.7639,0.005156,0.0558,4.0122,-0.9472,0.0397,0.9600,0.0951
5,40,1.6748,-0.047727,9.382492,0.7471,0.010696,0.1299,4.1095,-1.0473,0.0404,0.9467,0.1642
6,48,3.1570,-0.093746,8.875540,0.6414,-0.003314,0.0667,3.9254,-0.4168,0.0462,0.9333,0.1814
7,56,9.0415,0.007918,7.488328,0.6026,0.012340,0.0800,3.5654,-0.2656,0.0513,0.9200,0.2672
8,64,0.7283,-0.028534,9.790102,0.6443,0.000280,0.0198,4.1561,-0.2420,0.0543,0.9067,0.3420
9,72,19.8010,0.068457,7.774831,0.5867,-0.000465,0.0813,3.5945,-0.4528,0.0552,0.8933,0.3777
10,80,14.6752,-0.001781,7.591955,0.6483,0.002720,0.0112,3.6332,0.3253,0.0549,0.8800,0.4065
11,88,4.8514,0.005946,8.341304,0.6122,0.007071,0.0207,3.9994,-0.0218,0.0576,0.8667,0.5063
12,96,-0.2647,-0.001596,8.381542,0.6278,0.004554,0.0256,3.8414,0.0338,0.0552,0.8533,0.5417
13,104,2.5398,0.043726,7.034359,0.5501,0.006969,0.0418,3.6563,0.4485,0.0518,0.8400,0.5767
14,112,-15.2554,-0.012209,9.202605,0.5300,0.008667,0.0352,4.1152,1.5996,0.0599,0.8267,0.5377
15,120,4.1787,-0.002786,7.631368,0.5201,0.002484,0.0251,3.7615,3.0055,0.0611,0.8133,0.6188
16,128,12.3165,0.049624,6.381337,0.5035,-0.004257,0.0135,3.4186,2.5757,0.0649,0.8000,0.6342
17,136,4.2368,-0.070087,7.919943,0.4878,-0.000494,0.1282,3.7879,2.9851,0.0770,0.7867,0.5919
18,144,13.0473,-0.001808,6.953023,0.4075,0.003668,0.0166,3.4308,5.1970,0.0774,0.7733,0.6310
19,152,12.3000,-0.000554,5.649803,0.4012,0.000723,0.0015,3.3242,4.3367,0.0866,0.7600,0.6916
20,160,11.0465,0.018910,6.868392,0.3110,0.004190,0.0210,3.6024,4.9186,0.1001,0.7467,0.6549
21,168,17.0829,-0.083687,6.993828,0.3644,-0.006483,0.0130,3.7323,5.6439,0.0929,0.7333,0.6636
22,176,9.4428,0.009449,7.317042,0.2946,-0.000912,0.0107,3.5500,5.0827,0.1011,0.7200,0.6970
23,184,12.3866,0.063690,6.964260,0.3122,0.002618,0.0016,3.6217,4.5077,0.1069,0.7067,0.6881
24,192,2.9024,-0.001284,6.113761,0.3515,0.000091,0.0064,3.4697,4.9451,0.0945,0.6933,0.6796
25,200,3.7377,0.006223,6.795333,0.3136,0.001369,0.0200,3.6887,4.7135,0.1065,0.6800,0.7118
26,208,13.0696,-0.001448,5.694221,0.3534,0.000973,0.0038,3.2314,5.2576,0.0951,0.6667,0.7607
27,216,15.3018,-0.001470,6.726835,0.3318,0.001056,0.0020,3.5277,4.9118,0.0966,0.6533,0.7206
28,224,9.4990,-0.113481,6.718506,0.3138,0.002053,0.0280,3.4393,5.4106,0.1111,0.6400,0.7488
29,232,20.3256,-0.002172,6.659370,0.3170,0.000761,0.0086,3.3974,5.6425,0.1042,0.6267,0.7554
30,240,14.8862,0.020342,5.989520,0.3171,0.004820,0.0246,3.2071,5.6317,0.1030,0.6133,0.7382
31,248,4.4857,0.000220,8.642275,0.3252,0.000151,0.0057,4.0744,5.4735,0.1170,0.6000,0.7170
32,256,11.2039,-0.040154,7.285809,0.3089,0.001350,0.0152,3.5791,5.9233,0.1057,0.5867,0.7563
33,264,15.1961,-0.001344,6.151703,0.3049,0.001148,0.0135,3.4568,6.2682,0.1053,0.5733,0.7884
34,272,11.3602,-0.001733,6.915062,0.2753,0.001476,0.0040,3.6864,6.2448,0.1214,0.5600,0.7835
35,280,18.0836,-0.013512,6.740388,0.2829,-0.000427,0.0064,3.6062,6.0396,0.1178,0.5467,0.7990
36,288,9.6675,0.039191,7.633528,0.2797,0.004562,0.0105,3.8548,5.9839,0.1290,0.5333,0.7730
37,296,23.8429,-0.000100,7.381211,0.2417,0.000957,0.0010,3.7212,7.3918,0.1109,0.5200,0.7710
38,304,12.2845,-0.000930,6.812938,0.2568,0.001946,0.0022,3.6257,7.5070,0.1164,0.5067,0.7892
39,312,18.5389,0.059131,7.443322,0.2302,0.001324,0.0037,3.8630,7.9075,0.1109,0.4933,0.7716
