episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,32.0657,0.7500,6,1,89,87,5,12,2302.52,0
2,202,-4.2453,0.6750,11,6,92,91,1,5,2075.47,1
3,32,23.1674,0.7750,8,3,96,96,2,12,2269.64,1
4,228,20.6245,0.7250,8,2,83,83,5,9,2166.74,1
5,343,15.1894,0.7250,10,2,81,80,2,12,2183.18,1
6,164,-0.0433,0.6750,13,4,79,79,0,6,2068.62,1
7,277,-27.4073,0.6000,16,6,84,84,1,4,1958.97,0
8,205,9.3799,0.6500,9,5,81,81,4,4,2242.40,1
9,258,-4.5795,0.6750,13,3,86,83,0,10,2042.19,0
10,44,2.7501,0.7000,11,4,92,92,1,9,2218.86,0
11,184,-0.2059,0.6500,11,4,82,82,4,9,1995.42,0
12,122,-12.7697,0.6500,13,7,90,89,2,10,2148.60,0
13,236,6.1947,0.6750,10,4,87,87,3,7,2074.86,0
14,328,-36.8323,0.5750,17,6,88,88,0,8,1829.50,0
15,178,-1.0905,0.6750,12,4,86,86,2,7,2144.14,0
16,487,-31.7293,0.5750,16,7,80,78,0,3,1934.13,0
17,174,34.4184,0.8000,8,1,79,78,4,12,2216.69,0
18,234,-2.1565,0.6750,12,5,88,87,2,5,2123.04,1
19,386,-18.2549,0.6500,14,5,82,82,1,5,1870.65,0
20,425,-4.0131,0.6750,12,5,83,80,3,10,1982.85,1
21,486,-26.0244,0.5750,14,5,89,87,3,5,1947.15,0
22,186,18.8863,0.7250,8,3,91,91,3,12,2160.86,0
23,41,21.5262,0.7750,8,4,93,93,1,14,2239.64,1
24,29,24.6744,0.7750,8,4,91,91,1,20,2216.02,1
25,373,6.8939,0.7000,11,4,86,85,1,6,2131.40,0
26,309,-27.5899,0.5750,16,3,84,84,0,11,2088.74,0
27,359,-11.1084,0.6500,13,6,81,81,3,5,2056.73,0
28,26,18.5536,0.7250,9,3,84,83,2,13,2147.49,1
29,212,30.8306,0.8000,7,4,92,90,1,14,2261.46,1
30,104,30.3855,0.7750,6,3,94,94,3,16,2218.04,1
31,263,-10.0728,0.6750,13,5,93,93,0,7,2003.78,1
32,22,15.6058,0.7500,10,4,88,88,2,13,2099.88,0
33,299,-49.5674,0.5250,18,6,92,92,0,6,2015.61,2
34,313,-16.9516,0.6500,14,6,87,86,0,9,2005.76,1
35,221,-17.8010,0.6250,14,4,82,82,1,7,1961.62,1
36,336,-23.6344,0.6000,16,5,81,81,0,8,2019.07,1
37,194,-5.6702,0.6250,13,4,74,74,2,5,1958.10,0
38,138,13.3056,0.7500,9,5,88,87,2,16,2151.49,1
39,71,12.3440,0.7000,9,4,85,85,1,14,2095.45,2
40,256,-1.9841,0.6750,12,5,84,81,1,8,2101.24,1
41,402,-8.4976,0.6500,13,2,89,87,0,11,1928.33,2
42,311,-20.0553,0.6000,15,3,86,85,1,7,2108.41,2
43,262,19.7663,0.7500,9,5,79,79,1,6,2300.16,1
44,205,35.0238,0.8000,6,2,90,89,5,12,2237.45,1
45,358,-22.1711,0.6000,15,6,80,80,1,6,1874.04,1
46,225,-19.7327,0.6250,15,5,76,76,2,1,1975.40,0
47,113,-3.2770,0.6500,12,2,87,87,0,11,2109.48,1
48,123,6.2655,0.6750,10,3,85,85,3,15,2324.68,2
49,274,24.4234,0.7750,8,2,88,88,4,11,2106.98,2
50,295,-17.4609,0.6250,15,4,79,79,2,6,2128.85,2
51,68,34.5802,0.7750,7,1,83,83,2,10,2167.34,0
52,111,38.9451,0.8250,6,3,87,87,4,16,2318.86,1
53,164,6.7998,0.7250,10,5,92,92,1,6,2086.32,1
54,248,11.3048,0.7250,11,3,81,80,0,3,2192.00,4
55,157,3.5539,0.7000,10,5,84,84,3,11,2037.25,2
56,282,3.8028,0.7000,11,4,85,85,3,9,2020.83,2
57,158,20.3906,0.7750,9,4,84,84,0,10,2215.10,1
58,482,-20.7406,0.6250,14,6,84,82,2,5,1898.39,0
59,347,-25.5406,0.6000,15,5,88,88,2,9,2002.91,1
60,184,1.1550,0.6750,10,7,85,85,2,10,2027.03,0
61,303,23.0118,0.7750,9,3,87,85,1,11,2252.15,2
62,459,-19.8133,0.6250,14,7,80,73,1,6,1955.08,3
63,164,30.6906,0.7750,8,3,81,80,1,9,2322.73,0
64,234,-0.9637,0.7000,12,6,76,74,1,5,1937.45,0
65,163,6.0993,0.7250,10,5,88,88,4,10,2156.80,0
66,68,26.1125,0.7500,7,2,91,91,2,10,2186.98,2
67,77,59.3513,0.8750,4,0,86,86,4,16,2384.47,1
68,274,23.2161,0.7500,9,2,84,83,1,11,2281.88,2
69,100,37.9517,0.8000,6,1,96,96,3,15,2307.00,1
70,192,14.1647,0.6750,9,3,83,83,4,6,2157.46,0
71,414,-0.0133,0.7000,12,4,85,84,1,5,1886.46,1
72,176,-8.2282,0.6750,13,4,85,85,3,6,2057.47,0
73,115,3.5786,0.6750,10,3,89,88,3,11,2146.30,1
74,360,-17.9282,0.6250,13,7,81,80,3,11,1922.81,1
75,303,-39.1232,0.5750,17,7,82,82,0,6,2003.45,1
76,65,29.1806,0.8000,8,4,86,86,1,11,2199.81,0
77,138,35.1668,0.8000,7,3,84,84,3,15,2307.93,1
78,81,11.7559,0.7250,10,6,83,83,1,9,2156.02,2
79,200,3.9481,0.7000,12,5,79,79,0,7,2054.65,1
80,45,20.2714,0.7500,9,4,84,84,1,12,2132.26,1
81,308,-29.0766,0.6250,15,8,86,85,0,8,1895.64,1
82,489,19.0047,0.7500,10,2,80,76,2,7,2053.70,0
83,385,-19.2821,0.6250,14,7,78,78,1,7,1903.89,0
84,406,-30.0220,0.6000,15,6,82,79,1,4,1788.13,1
85,338,18.6958,0.7500,10,3,83,80,1,13,2227.19,3
86,322,-12.3007,0.6750,13,7,88,86,1,12,2039.04,0
87,98,41.1410,0.8000,5,1,88,88,4,12,2314.86,0
88,173,-14.5022,0.5750,12,4,79,78,4,9,1965.42,3
89,305,-26.1739,0.6250,15,6,90,90,0,8,2039.22,2
90,395,-8.4399,0.6750,13,4,88,86,2,9,1983.87,0
91,244,-7.6124,0.6750,13,9,75,75,0,4,2078.61,0
92,389,-23.4883,0.6250,15,5,82,81,1,5,1842.37,0
93,353,-26.7374,0.5750,15,5,80,78,1,10,1941.77,0
94,219,29.8214,0.7500,8,0,80,80,4,10,2154.93,1
95,472,-4.1998,0.6750,12,5,83,80,3,5,2046.72,3
96,110,6.3500,0.7000,10,2,97,96,3,11,2121.77,2
97,226,-10.5582,0.6500,14,5,82,81,0,2,1998.19,1
98,38,-5.8227,0.7000,12,5,85,85,2,12,2044.27,0
99,247,-9.9236,0.6250,12,4,78,78,4,2,1982.54,1
100,127,3.2741,0.6750,10,6,83,83,2,12,2135.15,1
101,399,-9.0916,0.6500,13,5,78,75,4,5,1955.03,1
102,240,13.2598,0.7500,10,4,81,81,3,4,2174.78,0
103,384,-10.4658,0.6250,13,3,81,81,1,9,1944.64,0
104,233,20.4190,0.7250,8,2,86,86,5,4,2190.69,1
105,294,-14.8685,0.6750,13,7,91,90,2,6,1955.70,1
106,239,11.1623,0.7250,11,4,77,76,0,5,2042.60,0
107,429,-22.8266,0.6250,15,5,77,76,0,4,1749.52,1
108,279,22.9694,0.7250,9,2,82,82,1,6,2131.59,1
109,417,6.8391,0.6750,10,3,83,82,2,11,1952.06,2
110,422,-14.2439,0.6000,14,3,74,74,3,2,1809.75,0
111,293,2.0141,0.7250,11,6,92,92,0,6,2148.03,0
112,331,-8.1304,0.6750,12,5,91,91,1,10,1977.91,1
113,454,-0.3439,0.6500,11,4,80,79,4,12,1911.20,0
114,265,9.2326,0.7250,11,3,87,86,3,9,2076.04,2
115,254,3.9390,0.6750,11,4,76,75,4,6,2059.32,0
116,309,-6.1994,0.6500,12,4,87,86,3,8,2112.24,1
117,122,3.9837,0.6750,10,3,89,89,2,12,2054.49,2
118,62,33.6237,0.8000,7,3,92,92,1,12,2298.42,2
119,235,-5.5826,0.6750,13,5,81,81,0,1,2061.43,1
120,392,-14.7007,0.6500,13,6,87,84,3,6,1956.06,0
121,267,24.9112,0.7500,9,3,82,81,1,8,2226.33,0
122,127,26.2943,0.7500,8,2,85,85,3,16,2282.76,2
123,353,-20.9247,0.6250,15,7,83,82,0,7,1973.32,3
124,36,33.1008,0.8000,7,2,89,89,3,17,2129.01,1
125,176,-12.2926,0.6250,13,6,78,78,2,6,1957.07,0
126,427,-29.0057,0.6000,16,7,83,79,1,7,1864.13,1
127,37,30.3450,0.7750,7,3,84,83,1,16,2168.76,0
128,433,-15.9547,0.6500,14,5,82,81,1,3,1945.66,1
129,376,-5.8573,0.6750,13,5,83,82,0,9,1934.70,1
130,275,15.5742,0.7250,9,3,87,87,4,8,2149.52,1
131,137,-10.4229,0.6250,12,6,83,83,2,13,2115.33,1
132,258,28.8123,0.7750,7,5,92,90,3,13,2373.71,0
133,411,-20.7518,0.6250,14,7,78,78,2,4,1865.57,3
134,490,14.5186,0.7250,10,2,84,81,2,11,2069.54,3
135,156,-25.8674,0.6000,16,7,73,73,0,6,1986.52,0
136,303,11.4332,0.7250,11,3,87,86,0,13,2062.79,1
137,44,4.9022,0.7250,11,6,91,91,0,8,2086.17,2
138,485,-22.4983,0.6250,15,8,79,77,0,5,1891.54,2
139,323,-30.4681,0.6250,15,8,94,94,0,6,1990.59,3
140,145,25.5840,0.8000,8,3,87,86,3,16,2233.46,2
141,305,2.4181,0.7250,11,6,87,83,1,11,2105.65,0
142,278,-8.5083,0.6500,13,4,80,80,1,5,1969.97,3
143,198,28.3220,0.7750,8,2,80,80,4,6,2273.45,0
144,90,29.0367,0.7750,7,2,94,94,4,17,2253.67,1
145,134,31.7390,0.7500,6,1,87,87,4,18,2236.02,0
146,258,1.8101,0.6750,12,5,74,73,1,4,2074.27,1
147,439,-0.2903,0.6750,13,5,72,68,0,11,2005.45,1
148,450,3.4863,0.7000,10,7,82,78,3,10,1910.08,1
149,399,-39.2440,0.5500,17,5,82,79,0,5,1782.27,0
150,172,-11.6441,0.6500,12,6,86,86,3,14,1995.51,0
151,103,45.6605,0.8250,5,2,85,85,3,17,2345.59,2
152,288,22.1956,0.7500,8,3,87,87,3,6,2121.12,1
153,228,18.9107,0.7000,8,1,78,76,3,1,2087.77,0
154,482,-3.6120,0.6750,12,5,80,77,1,4,1992.70,2
155,456,-0.5782,0.6750,11,4,79,76,1,9,1989.60,1
156,99,26.9729,0.8000,8,3,85,85,1,18,2193.26,0
157,194,13.9608,0.7250,11,1,78,78,1,6,2108.66,1
158,175,24.6493,0.7250,6,3,88,88,3,9,2108.79,0
159,208,-3.6641,0.6750,13,5,78,78,0,4,2030.03,1
160,456,-7.5862,0.6500,13,3,82,81,1,8,2007.83,2
161,202,7.8575,0.6750,10,4,82,82,3,5,2174.30,0
162,30,0.0753,0.6500,11,3,86,86,2,9,2041.63,1
163,268,31.2582,0.7750,7,2,85,85,3,7,2218.82,0
164,24,42.0083,0.8250,6,2,87,87,2,19,2280.42,0
165,355,-31.1294,0.6000,16,5,83,83,1,5,1875.87,3
166,233,23.2683,0.7750,8,4,90,88,2,8,2213.29,1
167,395,-30.1489,0.6000,16,6,82,81,0,5,1807.33,1
168,358,-11.6964,0.6500,14,5,82,82,0,13,2057.06,0
169,213,-14.2594,0.6500,13,6,86,85,2,6,2042.01,2
170,201,6.0379,0.7250,11,6,81,81,0,4,2012.67,0
171,472,-11.4816,0.6250,12,7,83,79,2,5,1948.80,1
172,66,13.4570,0.7250,9,4,90,90,1,14,2178.51,1
173,38,40.2031,0.8000,6,2,86,86,3,15,2301.24,1
174,421,16.0272,0.7500,10,5,78,76,3,10,2136.43,0
175,485,-19.3552,0.6250,15,6,75,75,0,5,1990.66,2
176,267,-10.5219,0.6750,13,8,87,86,0,4,1951.81,2
177,165,12.8488,0.7250,9,4,82,82,1,10,2083.77,1
178,422,-31.7668,0.5750,16,5,80,78,1,4,1858.25,1
179,104,-10.5252,0.6750,13,6,84,84,1,11,1931.80,2
180,317,-8.7428,0.6500,13,4,80,80,1,8,2074.68,1
181,303,4.5673,0.7000,12,3,88,87,1,9,2261.02,2
182,190,11.7279,0.7000,9,4,84,84,4,7,2197.96,0
183,39,36.8663,0.8000,7,2,83,83,1,18,2227.38,2
184,190,-4.0071,0.6750,11,6,93,92,2,10,2088.47,1
185,194,12.5409,0.7250,10,5,81,81,0,6,2202.34,1
186,163,28.6962,0.7750,8,2,86,86,2,15,2226.24,0
187,159,41.6768,0.8000,6,0,82,80,4,11,2266.88,1
188,279,14.8213,0.7500,10,3,87,87,2,11,2283.07,4
189,417,-31.0842,0.6000,16,8,76,76,1,5,1835.91,0
190,33,29.5190,0.7500,7,2,82,82,4,7,2219.01,1
191,438,24.0068,0.7750,9,3,81,77,1,13,2114.73,0
192,313,-25.1497,0.6250,15,6,90,90,0,7,1954.13,2
193,485,-7.0483,0.6500,12,6,84,83,3,3,1970.77,5
194,42,37.4369,0.8000,6,1,87,86,3,10,2310.08,0
195,64,33.7641,0.8000,7,1,89,89,3,13,2274.41,1
196,369,-7.5799,0.6750,13,4,84,83,1,11,2124.19,0
197,178,4.6911,0.7250,10,7,93,93,2,9,2150.87,1
198,43,21.2233,0.7000,7,3,89,89,3,10,2131.18,1
199,369,-8.9244,0.6750,13,5,83,82,2,11,1951.99,0
200,346,-34.0538,0.5750,17,5,80,79,1,8,1825.90,0
201,402,-34.8091,0.6000,16,7,83,82,2,7,1882.57,2
202,286,11.1264,0.7250,9,3,94,93,2,12,2167.76,3
203,17,10.5726,0.6750,9,4,86,85,4,12,2087.70,1
204,182,14.2717,0.7000,9,4,84,84,2,9,2198.70,0
205,358,-37.9789,0.5750,17,6,83,83,0,5,1967.27,2
206,262,-13.6159,0.6500,13,6,84,83,0,6,1950.55,1
207,469,9.0372,0.7250,11,6,75,73,0,4,2032.73,2
208,15,32.5655,0.7750,7,1,86,85,4,11,2206.92,0
209,434,-0.6902,0.6750,12,5,77,76,2,9,1982.56,1
210,341,-25.3752,0.6000,16,4,80,80,0,7,1988.98,2
211,81,41.0531,0.8500,6,4,80,80,2,20,2339.64,0
212,263,30.7928,0.7750,8,2,81,78,2,10,2208.52,1
213,80,56.7973,0.8750,5,1,86,86,0,11,2419.57,2
214,45,25.6010,0.7750,9,3,83,83,1,12,2152.94,2
215,351,14.3751,0.7250,10,3,76,73,2,16,2147.14,0
216,10,3.9020,0.7250,11,5,89,89,1,13,2098.50,1
217,291,-7.4149,0.6500,14,4,77,77,0,6,1962.55,2
218,181,3.6309,0.6750,10,4,86,86,2,5,1995.57,1
219,100,22.4090,0.7250,7,3,86,86,4,11,2226.41,0
220,464,15.0058,0.7250,10,3,78,75,3,10,1985.78,0
221,462,-19.6832,0.6250,15,6,76,71,0,4,1837.99,3
222,181,-16.5481,0.6500,14,6,80,80,2,3,1995.91,1
223,480,6.2401,0.7250,11,7,82,77,1,7,2056.94,0
224,201,1.8698,0.6500,11,3,80,80,2,3,1996.42,0
225,220,-13.8006,0.6000,13,3,85,83,1,3,1900.66,4
226,316,26.8828,0.7750,7,4,87,86,3,14,2275.94,3
227,315,-3.3259,0.6750,12,7,84,82,0,14,2172.49,1
228,170,-24.1014,0.6000,15,6,77,77,1,6,1912.61,1
229,15,18.0343,0.7250,10,0,87,86,1,9,2178.61,2
230,209,-2.4009,0.6250,11,3,80,78,3,8,2160.09,1
231,257,14.1840,0.7250,11,3,70,69,1,5,1972.16,0
232,54,32.7268,0.8000,7,2,89,88,1,15,2304.83,1
233,186,23.4109,0.7250,8,2,89,89,3,7,2059.05,3
234,369,-37.9393,0.5750,16,9,81,80,1,7,1873.54,1
235,87,-0.8416,0.7000,11,7,82,82,1,11,2068.59,2
236,98,28.5716,0.7500,7,2,90,90,2,17,2186.22,0
237,388,-37.0412,0.5500,16,7,81,79,2,4,1823.84,0
238,261,-0.6943,0.7000,12,5,84,83,2,6,2099.93,0
239,124,27.3369,0.8000,8,5,87,87,2,16,2265.39,1
240,33,45.8152,0.8500,5,2,90,90,2,16,2271.42,3
241,344,-17.7091,0.6250,14,5,83,81,0,10,1999.77,3
242,268,38.9002,0.8000,6,2,83,83,1,6,2181.94,1
243,99,26.1108,0.8000,8,2,88,88,3,16,2240.25,0
