episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,-1.9166,0.7250,9,4,80,80,3,4,2146.55,0
2,202,-8.6543,0.7250,10,4,87,87,1,8,2229.34,0
3,32,-18.6378,0.6750,11,3,91,89,2,10,2214.26,0
4,228,-9.5651,0.7500,10,6,88,87,0,12,2265.36,0
5,343,-48.6001,0.6250,14,6,96,94,4,13,1990.14,0
6,164,-15.1257,0.6500,11,2,83,82,1,5,2149.97,1
7,277,-55.5689,0.6000,15,8,94,93,4,3,1898.16,0
8,205,11.6709,0.8000,7,3,89,88,3,10,2330.58,0
9,258,-15.5777,0.7000,10,4,89,89,2,5,2116.83,1
10,44,-17.1538,0.6750,10,3,90,90,2,7,2167.47,1
11,184,-48.0547,0.6000,15,7,86,86,1,8,1920.48,3
12,122,-8.0767,0.7000,9,2,90,89,2,12,2036.27,2
13,236,3.8390,0.7750,8,5,84,82,3,10,2222.31,0
14,328,0.2981,0.7750,8,4,90,86,3,14,2197.61,2
15,178,-15.3305,0.7000,12,3,83,83,1,8,2119.98,0
16,487,-54.2795,0.6000,15,10,88,83,2,6,1984.93,0
17,174,-15.6454,0.6750,10,5,80,80,4,8,2112.33,0
18,234,19.1577,0.8000,6,2,84,84,3,5,2326.66,2
19,386,-33.8127,0.6750,13,6,82,81,3,8,1921.16,0
20,425,-26.8033,0.6500,13,3,82,81,1,6,1880.28,1
21,486,-40.8772,0.6000,13,5,87,85,4,8,1910.09,0
22,186,-4.3869,0.7500,10,5,82,81,2,6,2244.90,0
23,41,2.8156,0.7750,8,3,91,91,4,12,2265.68,0
24,29,-16.0318,0.7250,11,3,91,90,2,8,2131.24,0
25,373,-57.5570,0.5250,17,7,77,77,1,4,1879.64,0
26,309,-31.7993,0.6750,13,5,88,87,1,8,2136.31,1
27,359,-54.6467,0.5750,17,7,84,81,0,7,1965.20,0
28,26,2.4008,0.7750,9,2,89,87,2,16,2287.78,1
29,212,-16.6075,0.7250,11,5,84,84,4,8,2174.14,0
30,104,-4.1520,0.7250,10,3,86,86,0,13,2304.65,0
31,263,3.2151,0.7500,9,2,81,80,2,6,2152.85,0
32,22,11.1658,0.7750,7,3,86,86,2,17,2282.74,1
33,299,6.3810,0.7750,8,2,86,85,4,10,2254.86,0
34,313,-39.0825,0.6500,14,6,91,89,0,10,2082.18,1
35,221,-24.0465,0.6750,13,6,79,79,0,5,2232.48,0
36,336,-54.8714,0.5750,17,5,83,83,2,7,2006.72,1
37,194,-25.5152,0.6250,11,6,80,79,3,5,2121.44,0
38,138,3.2776,0.7750,9,3,82,82,2,10,2156.24,0
39,71,18.3476,0.8250,7,5,82,82,1,12,2372.56,1
40,256,-27.1078,0.6500,13,6,75,75,2,4,2055.65,1
41,402,-30.0537,0.6500,13,3,86,85,1,6,1959.88,0
42,311,-30.6460,0.6250,13,5,79,79,1,8,2124.50,1
43,262,2.6442,0.7250,8,4,83,82,2,9,2269.09,3
44,205,-28.7382,0.6000,12,6,75,75,4,0,2051.90,0
45,358,-49.4302,0.5750,16,7,80,79,1,5,1932.62,1
46,225,-14.6790,0.6750,11,2,85,85,3,3,2098.04,0
47,113,-22.5629,0.6750,11,4,91,91,2,13,2053.75,0
48,123,3.0520,0.7750,8,4,86,86,2,11,2147.92,3
49,274,-3.9413,0.7250,10,2,78,78,3,5,2137.90,3
50,295,-22.2817,0.6500,13,4,79,79,1,11,2060.46,2
51,68,-12.5758,0.7250,11,5,90,90,0,8,2247.26,3
52,111,25.9111,0.8000,4,2,79,79,5,18,2260.12,2
53,164,23.0773,0.8250,6,2,81,80,3,13,2205.72,0
54,248,19.6574,0.8000,6,2,82,81,3,5,2269.66,2
55,157,-32.9475,0.6250,12,3,91,91,4,11,2146.55,2
56,282,-22.2874,0.6750,12,4,86,86,1,6,2159.15,3
57,158,10.5434,0.7750,7,3,84,83,2,15,2273.49,1
58,482,-7.2266,0.7000,9,5,84,82,2,8,2104.17,0
59,347,-25.3450,0.6750,12,3,94,94,1,7,2063.60,0
60,184,-19.1861,0.7000,12,5,82,82,0,6,1938.27,0
61,303,-7.9509,0.7250,10,5,82,82,2,8,2150.20,1
62,459,-26.2988,0.6750,13,5,85,83,0,8,2038.83,3
63,164,-3.3542,0.6750,9,3,75,73,2,11,2078.50,2
64,234,-18.3717,0.7000,12,5,87,87,0,5,2117.63,0
65,163,2.9917,0.7500,9,1,86,86,2,12,2112.16,0
66,68,7.3849,0.7250,6,2,90,90,2,12,2190.34,1
67,77,10.3444,0.8000,7,5,82,82,2,19,2196.18,3
68,274,-24.9024,0.6500,13,3,79,79,1,7,2035.54,1
69,100,-6.5763,0.7250,9,4,88,88,1,13,2208.06,1
70,192,-12.3911,0.6750,11,2,83,83,2,6,2020.36,3
71,414,-21.6891,0.6500,11,3,80,79,4,6,1870.55,2
72,176,7.2024,0.7250,9,2,71,71,2,4,2193.28,1
73,115,32.7286,0.8250,4,3,78,75,1,24,2427.47,3
74,360,-14.2154,0.7250,11,3,82,82,2,10,2017.75,1
75,303,-30.3034,0.6500,13,4,81,81,1,6,2079.53,5
76,65,7.1298,0.7750,8,3,83,83,1,7,2178.58,2
77,138,14.7030,0.7750,6,3,79,78,4,10,2177.44,0
78,81,-14.3688,0.7250,11,5,87,87,0,10,2178.28,2
79,200,-2.3273,0.7250,8,2,88,87,3,9,2140.92,1
80,45,2.6578,0.7500,8,4,85,85,1,10,2144.83,3
81,308,-24.2919,0.6750,12,5,86,84,2,11,2196.81,5
82,489,-15.6688,0.7000,12,4,80,73,1,8,2104.87,1
83,385,-14.1740,0.7000,11,6,80,80,1,10,2166.62,1
84,406,-22.7031,0.6750,13,4,77,72,1,10,1965.98,4
85,338,-35.1426,0.6500,14,6,84,84,1,11,1997.92,3
86,322,-27.9806,0.6750,12,6,85,85,2,7,2088.89,3
87,98,-5.5285,0.7500,9,5,86,86,3,10,2179.37,0
88,173,-22.3616,0.6500,13,4,73,73,1,3,2001.81,1
89,305,-29.2991,0.6500,14,6,72,72,2,6,2143.37,1
90,395,-18.3682,0.7000,12,5,80,79,0,5,1972.16,6
91,244,-26.3953,0.6750,13,4,79,77,1,5,2016.14,2
92,389,-36.9986,0.6000,14,5,76,75,1,6,1845.04,6
93,353,-57.3746,0.5750,17,6,83,81,0,6,1869.05,3
