update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,-18.2997,0.107638,8.073159,0.7949,0.009133,0.1537,3.8073,-0.5156,0.0381,1.0000,0.0499
2,16,-19.2920,-0.005426,7.564725,0.7778,0.006873,0.0702,3.7862,-0.7887,0.0425,0.9867,0.0725
3,24,-14.4480,-0.002447,7.861829,0.7849,0.003739,0.0199,3.9563,-0.6882,0.0448,0.9733,0.1134
4,32,-18.4976,0.013186,8.077318,0.7505,0.001079,0.0452,3.9600,-0.0769,0.0425,0.9600,0.1719
5,40,-17.8272,0.019455,8.986243,0.6712,0.001040,0.0257,4.1340,0.1216,0.0514,0.9467,0.2176
6,48,-21.3017,-0.007257,7.747374,0.7190,0.005669,0.1064,3.7752,0.1747,0.0470,0.9333,0.3027
7,56,-3.1735,-0.004691,7.049041,0.6854,0.005972,0.0512,3.4841,0.1525,0.0504,0.9200,0.3141
8,64,-12.1487,0.000820,6.565933,0.5018,0.002517,0.0480,3.5105,-0.0832,0.0602,0.9067,0.3950
9,72,-4.7044,-0.008776,5.982550,0.5623,0.004685,0.0708,3.2177,0.2809,0.0631,0.8933,0.3559
10,80,-0.4995,-0.001662,6.963073,0.5073,0.002830,0.0343,3.5229,0.0614,0.0747,0.8800,0.4277
11,88,-20.9814,-0.111810,9.093992,0.4346,0.000125,0.0366,4.1667,-1.1422,0.0927,0.8667,0.4680
