episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,13.9314,0.7500,6,1,87,86,4,11,2288.15,0
2,202,-25.8117,0.6750,11,6,92,91,1,5,2075.47,1
3,32,0.8874,0.7750,8,3,96,96,2,12,2269.64,1
4,228,1.2885,0.7250,8,2,83,83,5,9,2166.79,1
5,343,-25.1914,0.6750,11,6,92,91,4,7,2131.70,1
6,164,-28.9981,0.6000,13,4,78,78,3,6,2024.11,1
7,277,-22.7903,0.6500,11,5,86,85,4,8,2194.99,0
8,205,-9.8950,0.6750,9,2,90,89,5,8,2307.28,0
9,258,-36.1451,0.6250,14,6,82,82,0,5,2079.50,2
10,44,-21.6979,0.7000,12,7,83,83,1,9,2088.79,1
11,184,-0.2131,0.7250,7,3,95,95,6,11,2324.45,1
12,122,-27.1305,0.6750,13,5,87,87,0,14,2126.29,0
13,236,-15.4342,0.7000,10,3,86,86,3,3,2031.59,2
14,328,-53.6102,0.6000,16,6,92,92,1,8,2014.94,0
15,178,11.5453,0.7750,8,1,83,83,3,12,2251.67,0
16,487,-30.2325,0.6500,14,6,80,76,0,3,2065.09,1
17,174,-32.1835,0.6500,12,4,97,97,2,11,2100.14,1
18,234,-13.4678,0.7000,11,4,80,80,2,3,2017.89,0
19,386,-28.4691,0.6250,12,3,87,84,2,10,1906.02,0
20,425,-35.8560,0.6500,14,7,85,83,0,7,1964.73,1
21,486,-41.4509,0.6500,14,7,90,87,1,10,1843.97,1
22,186,7.4354,0.7250,6,3,88,87,6,13,2210.06,0
23,41,-1.1930,0.7500,9,2,89,89,1,9,2162.79,2
24,29,-16.4270,0.7000,10,3,94,93,2,9,2146.45,0
25,373,-48.6243,0.6000,16,7,82,81,0,3,1777.80,1
26,309,-14.5178,0.7250,10,3,91,90,4,13,2162.33,1
27,359,-34.8158,0.6500,13,6,85,85,1,8,1922.92,1
28,26,-12.5493,0.7000,11,3,81,80,3,12,2115.72,1
29,212,-41.5889,0.6000,15,4,81,81,3,5,2011.76,0
30,104,-19.5667,0.7000,12,4,89,89,0,15,2157.53,1
31,263,-46.6977,0.6250,15,8,86,86,1,8,1998.33,0
32,22,2.7150,0.7750,8,2,90,90,4,17,2242.28,1
33,299,-36.0897,0.6500,14,7,88,87,0,10,2119.89,0
34,313,-46.2376,0.6000,16,7,78,78,0,5,1957.41,1
35,221,-32.2770,0.6500,13,5,89,89,1,3,2008.82,1
36,336,-30.5355,0.6250,11,2,93,91,2,18,2039.72,2
37,194,-9.6670,0.7000,11,1,85,84,1,8,2048.30,1
38,138,-15.8514,0.6750,10,5,81,81,4,11,2129.06,0
39,71,-32.6655,0.6750,13,5,95,95,0,10,2068.08,0
40,256,-25.1760,0.6750,13,5,87,87,0,8,2058.66,1
41,402,-20.6029,0.6250,10,4,80,80,4,10,2019.67,2
42,311,-71.8559,0.5500,18,10,94,93,0,7,1948.28,3
43,262,-25.7399,0.6750,13,4,85,84,1,3,2100.25,0
44,205,-32.5869,0.6250,12,4,87,87,3,5,2073.37,1
45,358,-56.9977,0.5500,16,7,86,85,1,7,1952.52,0
46,225,-20.4182,0.7000,12,3,86,85,3,8,2156.77,0
47,113,7.3785,0.7750,7,1,94,94,2,14,2288.66,0
48,123,2.8710,0.7250,9,1,83,83,1,11,2166.75,0
49,274,-25.5744,0.6750,13,4,84,84,2,5,2262.56,1
50,295,-64.3282,0.5500,17,8,88,88,1,7,1999.25,1
51,68,32.2275,0.8750,5,1,90,90,0,15,2395.54,3
52,111,-22.8292,0.6750,11,3,89,89,3,13,2137.13,0
53,164,11.3415,0.7500,7,2,82,81,2,15,2274.69,0
54,248,-1.5298,0.7000,8,2,84,84,3,3,2112.10,0
55,157,-3.2682,0.7500,9,3,89,89,2,8,2119.14,3
