update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,-12.0724,-0.013742,7.211925,0.8599,0.015996,0.1625,3.4471,-0.4721,0.0379,1.0000,0.0397
2,16,-21.6148,-0.135436,7.798225,0.7746,0.014410,0.0415,3.8512,-1.3143,0.0404,0.9867,0.0568
3,24,-20.2015,-0.004678,5.735222,0.6438,0.002127,0.0437,3.3880,-1.4758,0.0412,0.9733,0.0997
4,32,-26.9557,0.000944,7.433111,0.7770,0.002844,0.0252,3.9031,-1.1367,0.0400,0.9600,0.1484
5,40,-28.5625,-0.088597,7.457416,0.7143,-0.010515,0.0504,3.8841,-1.0819,0.0462,0.9467,0.2048
6,48,-27.2440,-0.024053,6.893126,0.7147,0.007975,0.1009,3.6318,-0.7393,0.0466,0.9333,0.2795
7,56,-11.2162,0.053390,7.059523,0.6514,-0.003537,0.0320,3.4349,-0.4113,0.0530,0.9200,0.3450
8,64,-28.7446,0.090124,7.214046,0.6329,0.011477,0.0430,3.6472,0.8449,0.0499,0.9067,0.4174
9,72,-10.5683,-0.030188,6.733656,0.6627,0.002305,0.1084,3.5669,0.1414,0.0458,0.8933,0.4979
10,80,-7.7659,0.086336,6.544079,0.6496,0.008408,0.0561,3.4429,0.9886,0.0443,0.8800,0.4948
11,88,-23.7847,-0.001915,8.091105,0.6694,0.002077,0.0127,3.8309,2.0849,0.0494,0.8667,0.4950
12,96,-23.8449,-0.002684,8.547963,0.6247,0.003039,0.0190,3.9534,1.8446,0.0509,0.8533,0.5473
13,104,-16.8779,-0.074329,7.290742,0.5605,0.024195,0.1474,3.7595,1.5053,0.0499,0.8400,0.5865
14,112,-25.6620,0.067744,8.433467,0.5713,0.008713,0.0789,3.8271,1.0921,0.0560,0.8267,0.6419
15,120,-13.5168,0.021728,7.645808,0.5697,0.032440,0.1248,3.9103,1.7570,0.0551,0.8133,0.6263
16,128,-12.9120,-0.103819,5.391872,0.5538,0.022771,0.0783,3.2178,2.0440,0.0525,0.8000,0.7121
17,136,-15.2281,0.076254,6.231660,0.6019,0.031608,0.1021,3.2381,2.5127,0.0525,0.7867,0.7297
18,144,-3.6002,-0.064942,6.686059,0.5132,0.002200,0.0682,3.5212,1.6064,0.0587,0.7733,0.6897
19,152,-19.2436,-0.002641,8.095479,0.4916,0.003436,0.0237,3.9594,1.8011,0.0642,0.7600,0.6764
20,160,-15.9795,-0.002090,8.156038,0.4520,0.003977,0.0218,3.9949,2.1850,0.0609,0.7467,0.6774
21,168,-16.9116,-0.091040,6.477884,0.4171,0.000078,0.0047,3.6320,1.3733,0.0723,0.7333,0.7314
22,176,-13.4484,0.088008,9.004468,0.3897,-0.021235,0.0762,4.2015,1.3274,0.0807,0.7200,0.6875
23,184,-9.2593,-0.001839,9.158663,0.3657,0.002796,0.0141,4.0885,2.0530,0.0811,0.7067,0.7007
24,192,-8.3305,-0.001289,8.197650,0.3596,0.001298,0.0060,3.8760,2.4948,0.0837,0.6933,0.7233
25,200,-12.3111,-0.094950,7.476833,0.3352,0.002498,0.0117,3.5915,2.2987,0.0833,0.6800,0.7327
26,208,-18.3496,-0.000469,7.248598,0.3805,0.000617,0.0027,3.6624,2.3984,0.0868,0.6667,0.7656
27,216,-5.0237,-0.001717,8.151100,0.3623,0.001512,0.0041,3.8346,2.5290,0.0859,0.6533,0.7443
28,224,-7.2908,-0.068116,8.875870,0.2959,0.001021,0.0039,3.8209,1.6679,0.0900,0.6400,0.7721
29,232,-0.9266,0.076306,7.946987,0.3708,0.000969,0.0319,3.7537,2.5970,0.0888,0.6267,0.7645
30,240,-12.7935,0.103346,6.614621,0.3812,0.002242,0.0048,3.5972,2.7639,0.0937,0.6133,0.7777
31,248,-20.9388,0.012446,7.447884,0.3519,-0.000017,0.0105,3.9462,3.6661,0.0829,0.6000,0.7823
32,256,-5.8920,0.034858,6.803505,0.3159,0.000618,0.0036,3.5721,3.5713,0.0805,0.5867,0.7971
33,264,-12.6131,-0.040376,6.716801,0.3877,-0.000603,0.0005,3.6628,4.3038,0.0877,0.5733,0.8197
34,272,-9.6744,-0.001862,8.073620,0.3870,0.003424,0.0154,3.8112,3.8434,0.0832,0.5600,0.7946
35,280,-9.0226,0.022130,6.835137,0.3288,-0.000824,0.0057,3.5315,3.0962,0.0846,0.5467,0.8140
36,288,-15.1678,-0.001210,7.398046,0.3259,0.002084,0.0045,3.8049,2.2163,0.0918,0.5333,0.8163
37,296,-7.2463,0.009997,6.222750,0.3647,-0.000653,0.0104,3.3279,2.9855,0.0939,0.5200,0.8219
38,304,3.1974,-0.003581,5.802028,0.3511,-0.001206,0.0099,3.2699,2.9305,0.0937,0.5067,0.8376
39,312,-1.3817,-0.005080,6.164483,0.3364,0.003297,0.0215,3.3318,3.6447,0.0945,0.4933,0.8355
40,320,1.5597,0.096157,6.232377,0.3426,0.004921,0.0016,3.3324,4.1162,0.1000,0.4800,0.8363
41,328,-6.1974,0.006528,5.273225,0.3342,0.000445,0.0083,3.1743,4.3039,0.0911,0.4667,0.8587
42,336,-2.0930,0.092724,5.054712,0.3501,0.003470,0.0038,3.1861,4.2960,0.0906,0.4533,0.8352
43,344,-15.0766,0.072871,7.016415,0.3215,0.000096,0.0000,3.7732,4.6751,0.0890,0.4400,0.8104
44,352,-13.4901,-0.000232,5.670908,0.3708,0.000301,0.0000,3.2711,4.2177,0.0900,0.4267,0.8438
45,360,-11.6640,-0.028085,6.563085,0.3289,0.000730,0.0018,3.4082,3.6269,0.0910,0.4133,0.8492
46,368,-17.3977,-0.071601,6.619068,0.3190,0.004324,0.0111,3.4930,3.4021,0.0875,0.4000,0.8477
47,376,-19.9966,-0.000892,5.741411,0.3944,0.001646,0.0015,3.3521,3.5638,0.0898,0.3867,0.8361
48,384,1.9519,-0.013352,6.370601,0.3491,0.000074,0.0037,3.1530,3.6350,0.0834,0.3733,0.8354
49,392,-3.4216,-0.001114,6.103963,0.3914,0.000394,0.0001,3.3035,3.1862,0.0877,0.3600,0.8047
50,400,-7.8230,-0.000462,5.172175,0.3849,0.000750,0.0001,3.0920,3.5103,0.0876,0.3467,0.8590
51,408,-10.3550,-0.058427,5.524237,0.3398,-0.001599,0.0005,3.1188,3.6652,0.0913,0.3333,0.8547
52,416,-23.9361,0.156324,5.572744,0.3329,-0.001332,0.0001,3.3845,4.0346,0.0972,0.3200,0.8547
53,424,-7.6701,-0.051588,5.368429,0.3522,-0.000756,0.0005,3.1260,3.9943,0.0940,0.3067,0.8575
54,432,-15.6434,0.096353,4.773772,0.3085,-0.000264,0.0021,3.1586,4.4649,0.0966,0.2933,0.8452
55,440,-5.1918,-0.035334,5.257364,0.3637,0.001941,0.0002,3.1366,4.5132,0.0885,0.2800,0.8399
56,448,-19.8306,0.092544,5.488465,0.3391,0.003669,0.0029,3.2090,4.7567,0.0845,0.2667,0.8403
57,456,-7.8612,-0.000772,4.363605,0.3765,0.000788,0.0065,2.9141,5.0332,0.0939,0.2533,0.8583
58,464,-16.4128,-0.000631,5.514515,0.3542,0.000523,0.0000,3.3233,4.5757,0.0920,0.2400,0.8454
59,472,-12.2081,-0.018166,4.829989,0.3123,0.001517,0.0000,3.1611,4.7423,0.0979,0.2267,0.8653
60,480,-13.7722,-0.000980,5.397772,0.3345,0.000511,0.0000,3.2039,4.4184,0.0985,0.2133,0.8359
61,488,-16.3434,-0.002189,4.799508,0.3424,0.000453,0.0000,3.0997,4.2395,0.1009,0.2000,0.8650
62,496,-6.0920,0.039758,4.701803,0.3606,0.000862,0.0001,3.0719,4.5491,0.0912,0.1867,0.8544
63,504,-6.1069,-0.054784,5.979015,0.3564,-0.001665,0.0001,3.2970,4.0256,0.0913,0.1733,0.8231
64,512,-8.1746,-0.041158,4.167332,0.3482,0.001180,0.0000,2.7773,4.2044,0.0918,0.1600,0.8909
65,520,-14.9569,0.027222,5.864988,0.3437,0.000003,0.0000,3.4213,4.1114,0.0857,0.1467,0.8463
66,528,-5.2756,-0.000816,4.521239,0.3698,0.000348,0.0000,2.9200,4.3700,0.0834,0.1333,0.8547
67,536,-4.6634,0.043245,5.317052,0.3157,-0.000345,0.0000,3.2268,4.4857,0.0903,0.1200,0.8485
68,544,-19.4262,0.028801,4.710311,0.3777,0.000076,0.0000,3.0794,4.3378,0.0872,0.1067,0.8534
69,552,-3.6067,-0.000148,4.661584,0.3736,0.000163,0.0000,2.9483,4.3429,0.0889,0.0933,0.8739
70,560,-10.9260,0.052748,5.303691,0.3696,0.003176,0.0000,3.2081,4.6210,0.0920,0.0800,0.8478
71,568,-9.0909,0.164853,3.781665,0.3176,0.000165,0.0000,2.8146,4.8996,0.0839,0.0667,0.8710
72,576,-4.7481,-0.000479,4.673314,0.3576,0.000070,0.0000,3.0157,5.2078,0.0856,0.0533,0.8608
