episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,34.9682,0.7500,6,1,87,86,4,11,2288.15,0
2,202,-4.2453,0.6750,11,6,92,91,1,5,2075.47,1
3,32,23.1674,0.7750,8,3,96,96,2,12,2269.64,1
4,228,22.1845,0.7250,8,2,83,83,5,9,2166.79,1
5,343,-3.3530,0.6750,11,6,92,91,4,7,2131.70,1
6,164,-10.1741,0.6000,13,4,78,78,3,6,2024.11,1
7,277,-1.7647,0.6500,11,5,86,85,4,8,2194.99,0
8,205,11.4538,0.6750,9,2,90,89,5,8,2307.28,0
9,258,12.1493,0.7250,11,4,83,83,0,6,2242.02,2
10,44,30.0981,0.8000,8,3,88,88,0,10,2225.68,0
11,184,-17.0253,0.6000,14,5,77,77,1,9,1949.50,0
12,122,24.3757,0.7750,8,3,92,92,2,16,2252.05,0
13,236,0.5661,0.6750,11,5,87,87,3,3,2092.35,0
14,328,18.9037,0.7250,9,2,82,80,4,14,2303.65,0
15,178,-10.1029,0.6500,13,5,89,89,1,5,2192.68,0
16,487,4.2488,0.7250,11,7,84,78,0,12,1984.33,0
17,174,51.9321,0.8250,4,1,85,85,3,15,2322.42,1
18,234,12.3176,0.7500,10,5,93,93,0,8,2239.40,0
19,386,6.5087,0.7000,10,6,84,82,3,8,2048.41,0
20,425,3.2651,0.6750,12,2,79,77,2,8,1997.18,2
21,486,-3.8980,0.6750,13,4,87,83,0,12,1993.12,0
22,186,0.1989,0.7000,11,5,89,89,3,9,2151.05,2
23,41,12.3582,0.7500,10,5,85,85,1,10,2145.55,1
24,29,21.5111,0.7500,9,2,83,83,0,10,2119.56,1
25,373,32.6205,0.8000,8,2,84,79,2,17,2257.68,0
26,309,-31.1670,0.6000,15,7,89,88,1,8,1987.21,0
27,359,-31.0288,0.6000,15,8,81,79,3,10,1933.76,1
28,26,24.9550,0.7750,8,5,88,87,0,13,2197.11,0
29,212,13.7548,0.7000,8,4,86,85,6,7,2188.78,1
30,104,15.5512,0.7250,10,4,88,88,0,12,2263.27,2
31,263,3.4692,0.6750,10,4,88,87,4,7,2125.67,1
32,22,24.6866,0.7500,7,2,92,91,6,17,2216.71,0
33,299,27.9838,0.7500,8,2,86,86,2,9,2275.79,1
34,313,-29.6921,0.6000,15,6,92,91,1,7,1994.38,2
35,221,3.5783,0.6750,11,3,78,78,5,1,2048.41,0
36,336,-5.0921,0.6500,13,4,78,77,0,9,2049.54,1
37,194,-4.0044,0.6500,12,3,87,87,2,7,2038.94,0
38,138,12.1941,0.7250,9,4,80,80,5,12,2233.08,2
39,71,25.8326,0.7750,8,4,83,83,3,15,2151.21,0
40,256,12.8491,0.7000,9,5,85,84,3,13,2245.66,0
41,402,-30.8484,0.5750,17,3,79,78,0,3,1908.18,0
42,311,15.1772,0.7500,10,4,87,86,2,15,2273.49,2
43,262,8.6779,0.7000,11,4,84,83,1,6,2150.48,3
44,205,24.7357,0.7500,7,3,86,85,3,7,2070.93,1
45,358,-48.0851,0.5250,18,7,85,85,0,6,1772.55,0
46,225,11.8471,0.7500,10,4,86,86,1,7,2102.36,1
47,113,27.3811,0.7750,7,3,94,94,5,15,2388.34,2
48,123,-18.7412,0.6500,14,8,83,83,1,9,1973.79,0
49,274,-5.2333,0.6500,13,3,80,80,0,5,2050.24,1
50,295,-13.9863,0.6500,13,7,85,84,1,8,2072.32,0
51,68,51.7668,0.8500,5,1,83,82,3,12,2359.55,0
52,111,35.4905,0.7500,7,2,75,75,2,12,2209.68,0
53,164,45.1027,0.8000,5,2,85,81,4,15,2293.71,2
54,248,30.4072,0.7750,8,1,83,82,2,6,2187.42,1
55,157,32.7082,0.7750,7,2,86,86,5,11,2243.18,2
56,282,-0.5679,0.7000,12,5,86,85,1,11,2172.92,0
57,158,23.2514,0.7000,8,0,86,81,4,11,2251.67,1
58,482,-16.4466,0.6500,14,10,79,76,1,3,1998.42,1
59,347,-25.5193,0.6250,15,7,88,87,0,11,1913.94,0
60,184,31.6132,0.8000,8,2,84,82,3,11,2308.41,1
61,303,-21.0987,0.6250,15,7,80,79,0,12,2081.77,2
62,459,-26.4396,0.6000,16,4,79,77,0,5,1808.48,0
63,164,17.4714,0.7250,9,3,82,81,1,8,2065.80,2
64,234,2.8049,0.6750,12,3,74,74,3,3,2129.06,0
65,163,10.6255,0.6500,9,2,80,79,3,9,2166.54,0
66,68,24.3286,0.7500,9,2,84,84,1,9,2118.78,2
67,77,28.1308,0.7750,7,3,87,87,2,11,2238.78,0
68,274,10.2861,0.7250,11,3,86,86,2,4,2171.55,0
69,100,24.8072,0.7750,7,5,89,88,3,20,2261.22,0
70,192,18.3806,0.7250,9,4,87,85,2,9,2277.97,0
71,414,-10.3354,0.6500,13,7,79,78,2,6,1937.00,0
72,176,20.2279,0.7750,9,4,79,78,2,6,2114.58,2
73,115,31.0954,0.7250,6,2,82,82,5,15,2234.73,4
74,360,-18.1086,0.6500,14,6,89,89,1,15,1958.48,3
75,303,-11.2945,0.6500,14,3,82,82,2,7,2055.12,1
76,65,23.8236,0.7500,9,4,77,77,1,13,2127.43,2
77,138,19.6764,0.7500,8,4,91,91,2,15,2166.30,4
78,81,26.4861,0.7750,9,2,88,88,0,14,2189.21,2
