update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,9.0296,-0.013888,6.886262,0.8598,0.016633,0.1602,3.4678,-0.4721,0.0379,1.0000,0.0369
2,16,7.9017,-0.005315,8.003688,0.6512,0.005798,0.0447,3.8102,0.3112,0.0393,0.9867,0.0733
3,24,13.0242,-0.022529,7.701088,0.7171,0.002008,0.0523,3.7265,0.1152,0.0416,0.9733,0.1009
4,32,6.6052,0.012862,6.226689,0.7692,0.010553,0.1438,3.4589,0.1022,0.0440,0.9600,0.1388
5,40,5.4562,-0.005893,8.766076,0.7327,0.007098,0.0664,3.9856,0.4409,0.0415,0.9467,0.1552
6,48,-1.2320,0.124758,8.582023,0.6875,-0.007897,0.0436,3.7791,0.2226,0.0463,0.9333,0.2209
7,56,21.9610,-0.004219,8.352179,0.7082,0.002103,0.0388,3.8499,1.1486,0.0455,0.9200,0.2405
8,64,-1.7954,-0.055752,8.898917,0.6260,0.012734,0.0871,4.1045,1.0205,0.0469,0.9067,0.3001
9,72,15.8064,0.107888,5.464983,0.6174,0.007570,0.0497,3.3068,2.0477,0.0496,0.8933,0.4545
10,80,12.7256,-0.004299,6.660535,0.6093,0.013839,0.0551,3.5960,1.9441,0.0552,0.8800,0.4278
11,88,-7.3592,-0.001445,9.835546,0.5482,0.005509,0.0498,4.3812,1.3479,0.0669,0.8667,0.4588
12,96,3.0009,-0.001935,8.870158,0.5213,0.003551,0.0173,4.1736,0.9216,0.0692,0.8533,0.5597
13,104,8.9082,-0.008306,7.708256,0.4928,0.000645,0.0521,3.7131,0.7171,0.0739,0.8400,0.6211
14,112,4.9545,-0.092025,11.490780,0.4304,0.003084,0.0145,4.3751,-0.5050,0.0707,0.8267,0.6205
15,120,9.5990,-0.071567,11.342031,0.4208,0.007388,0.0183,4.1945,1.3165,0.0818,0.8133,0.6508
16,128,6.8669,-0.024210,8.756605,0.4706,-0.004549,0.0366,3.8379,1.8227,0.0791,0.8000,0.6699
17,136,3.9085,0.007742,9.827847,0.4243,0.004304,0.0135,4.3987,2.8752,0.0834,0.7867,0.6840
18,144,10.8920,-0.076473,9.654312,0.4127,0.004366,0.0314,4.2913,3.5545,0.0862,0.7733,0.6934
19,152,2.1197,0.001740,8.859299,0.3420,0.006709,0.0536,4.3017,3.3330,0.0806,0.7600,0.6888
20,160,6.2008,-0.001453,9.571784,0.4103,0.002012,0.0041,4.1820,4.9021,0.0717,0.7467,0.6605
21,168,4.9677,-0.064240,8.548981,0.3893,0.001573,0.0114,4.1744,6.1223,0.0649,0.7333,0.6900
22,176,11.1792,0.017163,9.609597,0.4423,0.010440,0.0250,4.2746,5.8766,0.0648,0.7200,0.6771
23,184,10.5567,-0.001269,9.123505,0.3914,0.001773,0.0027,4.1594,6.3148,0.0773,0.7067,0.7212
24,192,10.8517,-0.001681,8.828001,0.4325,0.001761,0.0052,3.9652,4.8328,0.0693,0.6933,0.7177
25,200,2.9867,-0.002578,8.079243,0.4089,0.003648,0.0175,3.9765,6.1461,0.0650,0.6800,0.7046
26,208,5.9455,0.030938,7.493212,0.3903,0.000639,0.0141,3.8469,6.2352,0.0616,0.6667,0.7431
27,216,17.5168,0.039294,8.890966,0.3599,0.004435,0.0142,3.8495,5.6162,0.0658,0.6533,0.7471
28,224,6.2960,0.050765,9.435492,0.4223,-0.001093,0.0063,4.0582,4.2349,0.0666,0.6400,0.7513
29,232,5.1283,0.096121,9.091996,0.4110,0.000322,0.0052,4.0393,3.0970,0.0728,0.6267,0.7455
30,240,10.7331,0.106898,8.570735,0.4038,-0.000012,0.0183,3.6299,2.7807,0.0734,0.6133,0.7953
31,248,-2.7080,-0.003718,10.075258,0.3919,0.005449,0.0196,4.3670,3.3215,0.0625,0.6000,0.7436
32,256,4.7955,-0.118731,9.171926,0.3223,0.005913,0.0323,4.0105,2.5262,0.0593,0.5867,0.7880
33,264,11.1161,-0.002801,7.732874,0.4075,0.006276,0.0219,3.6199,2.1841,0.0529,0.5733,0.7921
34,272,4.2949,0.010924,7.007575,0.3169,-0.000425,0.0055,3.6348,2.8462,0.0606,0.5600,0.7802
35,280,2.6111,-0.001649,7.347254,0.4048,0.001786,0.0091,3.5536,4.0176,0.0587,0.5467,0.8007
36,288,3.8402,0.076915,9.513582,0.3714,-0.000011,0.0013,4.1634,3.3395,0.0628,0.5333,0.7882
37,296,5.4845,0.003489,7.667732,0.2847,0.001966,0.0062,3.7859,4.1155,0.0612,0.5200,0.7755
38,304,7.4659,-0.000857,7.565760,0.4101,0.001728,0.0010,3.8628,5.3188,0.0571,0.5067,0.7844
39,312,12.2573,-0.061915,8.020992,0.3382,0.001403,0.0030,3.9593,5.8376,0.0590,0.4933,0.7712
