episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,13.9314,0.7500,6,1,87,86,4,11,2288.15,0
2,202,-25.8117,0.6750,11,6,92,91,1,5,2075.47,1
3,32,0.8874,0.7750,8,3,96,96,2,12,2269.64,1
4,228,1.2885,0.7250,8,2,83,83,5,9,2166.79,1
5,343,-25.1914,0.6750,11,6,92,91,4,7,2131.70,1
6,164,-28.9981,0.6000,13,4,78,78,3,6,2024.11,1
7,277,-22.7903,0.6500,11,5,86,85,4,8,2194.99,0
8,205,-9.8950,0.6750,9,2,90,89,5,8,2307.28,0
9,258,-36.1446,0.6250,14,6,82,82,0,5,2079.52,2
10,44,-21.6979,0.7000,12,7,83,83,1,9,2088.79,1
11,184,-0.2131,0.7250,7,3,95,95,6,11,2324.45,1
12,122,-27.1285,0.6750,13,5,87,87,0,14,2126.27,0
13,236,-15.4342,0.7000,10,3,86,86,3,3,2031.59,2
14,328,-53.6102,0.6000,16,6,92,92,1,8,2014.94,0
15,178,11.5453,0.7750,8,1,83,83,3,12,2251.67,0
16,487,-30.2325,0.6500,14,6,80,76,0,3,2065.09,1
17,174,-32.0294,0.6500,12,4,97,97,2,11,2099.79,1
18,234,-13.4713,0.7000,11,4,80,80,2,3,2017.94,0
19,386,-28.5223,0.6250,12,3,87,85,2,10,1905.46,1
20,425,-28.2778,0.6750,13,6,86,84,0,7,1949.70,0
21,486,-32.3455,0.6500,13,7,81,80,1,3,1907.77,1
22,186,-8.0337,0.7500,9,7,89,89,3,5,2316.91,0
23,41,6.9482,0.7500,8,3,85,85,1,18,2231.53,1
24,29,0.7448,0.7750,8,3,90,89,1,11,2151.97,2
25,373,-63.7543,0.5500,18,8,78,78,0,7,1853.08,0
26,309,-29.5341,0.6500,14,6,80,80,1,5,2137.14,0
27,359,-14.4248,0.7000,11,3,82,79,2,10,2087.66,0
28,26,9.7459,0.7750,6,2,93,92,3,19,2332.46,0
29,212,-27.1225,0.6500,13,2,83,83,2,4,1996.29,0
30,104,18.3375,0.8000,5,2,95,95,2,15,2384.77,0
31,263,-23.8997,0.6750,12,6,83,83,1,6,2057.79,2
32,22,-12.3001,0.7500,10,5,92,91,1,6,2143.70,1
33,299,-14.5809,0.7000,11,4,82,82,3,7,2070.85,0
34,313,-34.0731,0.6500,14,5,84,83,0,7,1987.86,1
35,221,-21.3928,0.6500,11,1,88,87,4,3,2080.44,0
36,336,-54.1136,0.6000,16,9,84,84,0,10,1871.64,0
37,194,-27.1582,0.6750,13,5,84,83,0,5,1960.28,1
38,138,6.0624,0.7500,8,3,82,81,2,11,2130.72,0
39,71,-32.5664,0.6500,13,6,85,84,0,7,1967.90,0
40,256,0.4499,0.7500,10,5,76,75,2,9,2187.00,0
41,402,-68.3578,0.5250,18,7,85,85,0,3,1790.34,0
42,311,-31.7710,0.6500,12,5,92,91,2,7,2017.07,2
43,262,-32.8729,0.6250,13,7,76,76,3,5,2022.45,0
44,205,-2.2117,0.7500,10,5,80,80,2,8,2241.42,0
45,358,-42.1680,0.6250,15,8,76,74,1,6,1895.37,0
46,225,-18.9998,0.6750,12,4,79,78,4,8,2044.53,0
47,113,1.0666,0.7250,8,2,87,87,4,17,2246.14,1
48,123,10.7416,0.7750,7,2,86,86,0,18,2187.98,0
49,274,-18.9225,0.7000,12,6,82,82,0,5,2017.07,1
50,295,-5.8475,0.7000,10,2,79,78,2,7,2156.13,1
51,68,15.9363,0.8000,7,2,86,86,1,13,2271.70,3
52,111,20.8712,0.8000,5,3,83,81,4,16,2309.61,1
53,164,2.2195,0.7250,9,0,86,85,3,9,2190.60,1
54,248,-11.2216,0.7250,10,6,84,83,2,4,2115.12,2
55,157,-11.4288,0.6500,10,4,75,75,3,8,2101.04,0
