update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,-12.0724,-0.013839,7.211925,0.8601,0.015676,0.1540,3.4471,-0.4721,0.0379,1.0000,0.0397
2,16,-21.6145,-0.136351,7.798354,0.7756,0.014528,0.0405,3.8512,-1.3143,0.0404,0.9867,0.0568
3,24,-16.8734,-0.003212,5.661796,0.6541,-0.000237,0.0313,3.3395,-1.4723,0.0416,0.9733,0.1108
4,32,-17.8690,0.076711,7.719070,0.6794,0.002207,0.0401,3.9532,-1.5197,0.0441,0.9600,0.1353
5,40,-22.1716,-0.003518,8.322568,0.7528,0.004995,0.0254,4.0940,-1.5453,0.0477,0.9467,0.2070
6,48,-23.0716,0.032217,8.512507,0.6900,0.009801,0.1152,4.2205,-1.5823,0.0453,0.9333,0.2427
7,56,-4.1388,0.044342,8.826716,0.6902,0.007235,0.0387,3.9555,-1.5363,0.0458,0.9200,0.3130
8,64,-19.3673,0.023273,8.082937,0.6620,-0.009875,0.0691,4.0176,-1.3302,0.0507,0.9067,0.3930
9,72,-2.8346,0.003623,7.532033,0.5374,-0.000100,0.0641,3.4754,-0.7879,0.0525,0.8933,0.4187
10,80,-9.2234,-0.002266,7.849554,0.6035,0.002315,0.0104,3.5105,0.4664,0.0644,0.8800,0.3655
11,88,-29.0108,-0.001674,10.234674,0.5826,0.002143,0.0062,4.2576,0.3074,0.0689,0.8667,0.4144
12,96,-20.7345,0.013219,10.644548,0.5617,0.007681,0.0557,4.2708,1.0805,0.0679,0.8533,0.5004
13,104,-20.5388,-0.001896,9.788286,0.5562,0.006917,0.0425,4.0710,0.9022,0.0733,0.8400,0.5261
14,112,-31.8942,-0.019876,10.937204,0.5550,0.011567,0.0616,4.4271,0.2359,0.0622,0.8267,0.5096
15,120,-10.5293,0.004863,8.140221,0.4867,0.003433,0.0455,3.9288,0.6169,0.0673,0.8133,0.5651
16,128,-17.0951,-0.002445,8.064229,0.5527,0.004359,0.0284,3.7974,-0.2473,0.0633,0.8000,0.5930
17,136,-13.2654,-0.009395,7.890893,0.5320,0.006392,0.0418,3.8315,0.1211,0.0603,0.7867,0.6085
18,144,-13.6255,-0.007831,8.779133,0.4948,0.006721,0.0202,3.8043,-0.4029,0.0644,0.7733,0.5983
19,152,-17.5875,0.001865,9.251094,0.4745,0.001943,0.0151,3.9016,0.4248,0.0629,0.7600,0.6323
20,160,-12.5268,-0.175166,10.279545,0.5498,0.007528,0.0515,3.8513,1.1250,0.0540,0.7467,0.6643
21,168,-18.9347,-0.004498,6.956057,0.5537,0.009550,0.0612,3.5489,1.2051,0.0713,0.7333,0.7048
22,176,-7.9620,-0.003792,8.341475,0.5317,0.005124,0.0410,3.8647,1.5004,0.0585,0.7200,0.6745
23,184,-12.5594,-0.002271,8.353087,0.5171,0.003481,0.0093,3.9229,1.4796,0.0612,0.7067,0.6733
24,192,-21.5028,-0.152562,7.629599,0.4455,0.000547,0.0176,3.6618,1.0940,0.0591,0.6933,0.7169
25,200,-14.6207,0.000953,8.908153,0.4195,0.009359,0.0539,3.7391,1.5111,0.0675,0.6800,0.7110
26,208,-21.5201,-0.000630,11.201803,0.3678,-0.000844,0.0100,3.8518,1.7225,0.0658,0.6667,0.7318
27,216,-12.0995,-0.002007,11.412022,0.4082,0.002467,0.0266,4.1708,1.3966,0.0698,0.6533,0.7042
28,224,-16.4071,-0.067841,11.544726,0.4089,0.004632,0.0383,4.2319,1.2341,0.0559,0.6400,0.7015
29,232,1.4271,0.102858,10.275409,0.4302,-0.001177,0.0499,3.7346,1.4050,0.0586,0.6267,0.7480
30,240,-7.0082,-0.052764,8.628198,0.3357,0.003725,0.0066,3.6466,1.3873,0.0634,0.6133,0.7480
31,248,-19.9313,0.002374,10.611965,0.3984,0.002356,0.0107,4.0784,0.9188,0.0724,0.6000,0.7606
32,256,-10.6630,0.010936,10.445466,0.4120,0.013370,0.0305,3.7542,0.9852,0.0640,0.5867,0.7758
33,264,-11.2903,0.004764,8.669643,0.4164,0.004929,0.0121,3.5259,1.2820,0.0614,0.5733,0.7795
34,272,-16.7421,-0.001584,9.729635,0.4066,0.001898,0.0062,3.8558,0.9836,0.0747,0.5600,0.7487
35,280,-19.2860,-0.002859,7.751971,0.4231,0.003109,0.0196,3.5830,0.5263,0.0679,0.5467,0.7994
36,288,-11.8304,0.034895,8.171750,0.3785,0.005954,0.0128,3.7556,1.1911,0.0747,0.5333,0.7762
37,296,-12.7485,0.026264,8.287155,0.4681,-0.001063,0.0163,3.5767,1.4008,0.0724,0.5200,0.7895
38,304,-10.1468,0.121654,9.441209,0.4666,0.006236,0.0091,3.8751,1.4462,0.0709,0.5067,0.7596
39,312,-11.5932,0.000029,7.223612,0.4203,0.000415,0.0040,3.5304,2.0470,0.0675,0.4933,0.7865
40,320,-15.2278,0.033842,9.754106,0.3075,0.002724,0.0114,4.1037,2.8483,0.0736,0.4800,0.7475
41,328,-14.4553,0.097496,9.466510,0.3716,0.007050,0.0029,3.8082,3.8685,0.0710,0.4667,0.7840
42,336,-9.3680,-0.003090,8.473797,0.2897,0.000833,0.0062,3.8740,2.5322,0.0745,0.4533,0.7743
43,344,-14.7676,-0.001266,8.963300,0.3833,0.001903,0.0104,3.8010,2.7368,0.0741,0.4400,0.7953
44,352,-11.4611,-0.070781,8.236281,0.3271,0.000970,0.0035,3.8343,4.4255,0.0747,0.4267,0.7963
45,360,-14.0235,-0.023874,7.025243,0.3042,0.001732,0.0027,3.6996,3.7188,0.0832,0.4133,0.8300
46,368,-16.6999,-0.000425,7.061336,0.3746,0.000214,0.0071,3.6437,3.6892,0.0731,0.4000,0.8290
47,376,-10.1212,-0.000993,6.349290,0.3944,0.000502,0.0008,3.4130,3.8771,0.0739,0.3867,0.8300
48,384,-9.8713,0.063175,7.372391,0.3645,0.003745,0.0017,3.6955,4.0987,0.0710,0.3733,0.8146
49,392,-9.4394,0.063969,6.998262,0.3069,0.000636,0.0001,3.5131,3.7445,0.0795,0.3600,0.8148
50,400,-7.3806,-0.130943,7.689875,0.3195,0.000120,0.0030,3.6510,3.9968,0.0691,0.3467,0.8285
51,408,-15.0751,-0.000736,7.544382,0.3754,0.001000,0.0001,3.7436,3.9990,0.0781,0.3333,0.8151
52,416,-25.9097,0.016856,7.078932,0.3277,0.000521,0.0004,3.5991,4.1130,0.0681,0.3200,0.8492
53,424,-17.8059,-0.001139,6.408956,0.4219,0.001295,0.0023,3.5118,4.4528,0.0694,0.3067,0.8434
54,432,-19.8597,-0.061789,6.066178,0.3913,-0.000292,0.0081,3.3506,4.5801,0.0750,0.2933,0.8481
55,440,-2.6217,0.006722,6.715801,0.3579,0.002733,0.0056,3.4861,4.7922,0.0627,0.2800,0.8371
56,448,-16.4079,0.053141,5.602421,0.3546,0.001462,0.0000,3.4447,5.0313,0.0681,0.2667,0.8513
57,456,2.4393,-0.000764,6.727378,0.3648,-0.000023,0.0000,3.4532,4.7201,0.0739,0.2533,0.8309
58,464,-22.7349,-0.141753,8.354322,0.3347,0.000279,0.0000,3.9020,4.1852,0.0638,0.2400,0.8200
59,472,-8.9838,0.095426,6.816883,0.4208,0.002445,0.0004,3.6265,4.8046,0.0737,0.2267,0.8400
60,480,-13.3660,0.030283,5.990123,0.3707,-0.000289,0.0019,3.3715,5.0174,0.0687,0.2133,0.8517
61,488,-16.3779,0.022308,5.750426,0.4175,0.001332,0.0000,3.2524,4.9875,0.0732,0.2000,0.8630
62,496,-11.5061,-0.046793,8.156750,0.3139,0.002559,0.0033,3.9357,5.2505,0.0738,0.1867,0.8014
63,504,-5.1634,0.074101,5.644724,0.3207,0.000178,0.0007,3.3155,5.2630,0.0771,0.1733,0.8382
64,512,-8.5984,-0.006323,5.398857,0.3392,0.000260,0.0000,3.3447,5.5915,0.0769,0.1600,0.8347
65,520,-22.9884,0.050887,5.721838,0.3248,-0.000046,0.0000,3.2831,5.2957,0.0799,0.1467,0.8693
66,528,2.4088,-0.020431,5.593735,0.2974,0.000400,0.0000,3.0625,5.8048,0.0782,0.1333,0.8646
67,536,-8.1624,-0.160266,6.102689,0.3148,0.000029,0.0000,3.3577,5.8093,0.0803,0.1200,0.8300
68,544,-12.0651,-0.000284,5.202391,0.3680,0.000180,0.0000,3.2198,5.9380,0.0837,0.1067,0.8582
69,552,-18.9709,-0.000258,5.393340,0.3970,0.000466,0.0000,3.2770,5.8589,0.0696,0.0933,0.8402
70,560,-10.5212,-0.000304,5.056793,0.3779,0.000135,0.0000,3.1572,5.8882,0.0817,0.0800,0.8582
71,568,-9.2172,-0.018708,4.797558,0.3410,0.000077,0.0000,3.1699,6.1794,0.0791,0.0667,0.8482
72,576,0.7538,0.084079,5.147877,0.3236,-0.000028,0.0000,3.1193,6.4391,0.0786,0.0533,0.8491
73,584,-3.5923,0.038877,4.980064,0.3651,-0.000620,0.0000,3.1064,6.4481,0.0762,0.0400,0.8415
74,592,-10.7693,0.000098,4.280118,0.3921,-0.000044,0.0000,2.9001,6.2644,0.0700,0.0267,0.8686
75,600,-5.6883,-0.000233,4.870054,0.3745,0.000010,0.0000,3.1060,6.5242,0.0737,0.0133,0.8388
