episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,13.9314,0.7500,6,1,87,86,4,11,2288.15,0
2,202,-25.8117,0.6750,11,6,92,91,1,5,2075.47,1
3,32,0.8874,0.7750,8,3,96,96,2,12,2269.64,1
4,228,1.2885,0.7250,8,2,83,83,5,9,2166.79,1
5,343,-25.1914,0.6750,11,6,92,91,4,7,2131.70,1
6,164,-28.9981,0.6000,13,4,78,78,3,6,2024.11,1
7,277,-22.7903,0.6500,11,5,86,85,4,8,2194.99,0
8,205,-9.8950,0.6750,9,2,90,89,5,8,2307.28,0
9,258,-36.1451,0.6250,14,6,82,82,0,5,2079.50,2
10,44,-21.6979,0.7000,12,7,83,83,1,9,2088.79,1
11,184,-0.2131,0.7250,7,3,95,95,6,11,2324.45,1
12,122,-27.1305,0.6750,13,5,87,87,0,14,2126.29,0
13,236,-15.4342,0.7000,10,3,86,86,3,3,2031.59,2
14,328,-53.6102,0.6000,16,6,92,92,1,8,2014.94,0
15,178,11.5453,0.7750,8,1,83,83,3,12,2251.67,0
16,487,-30.2325,0.6500,14,6,80,76,0,3,2065.09,1
17,174,-32.0294,0.6500,12,4,97,97,2,11,2099.79,1
18,234,-13.4712,0.7000,11,4,80,80,2,3,2017.94,0
19,386,-28.4691,0.6250,12,3,87,84,2,10,1906.02,0
20,425,-35.8560,0.6500,14,7,85,83,0,7,1964.73,1
21,486,-41.4509,0.6500,14,7,90,87,1,10,1843.97,1
22,186,7.4354,0.7250,6,3,88,87,6,13,2210.06,0
23,41,-1.1930,0.7500,9,2,89,89,1,9,2162.79,2
24,29,-16.4249,0.7000,10,3,94,93,2,9,2146.48,0
25,373,-48.6243,0.6000,16,7,82,81,0,3,1777.80,1
26,309,-6.5816,0.7000,8,1,91,90,5,15,2194.07,0
27,359,-37.2866,0.6250,13,4,87,87,2,7,1878.93,1
28,26,-12.5493,0.7000,11,3,81,80,3,12,2115.72,1
29,212,-41.5889,0.6000,15,4,81,81,3,5,2011.76,0
30,104,-19.5667,0.7000,12,4,89,89,0,15,2157.53,1
31,263,-46.6989,0.6250,15,8,86,86,1,8,1998.32,0
32,22,6.2756,0.7750,8,1,89,89,3,20,2230.92,0
33,299,-43.6965,0.6250,15,4,89,87,2,10,2096.22,0
34,313,-35.3476,0.6500,14,7,86,86,0,10,2062.70,1
35,221,-45.6284,0.6000,15,7,92,92,1,3,2079.01,2
36,336,-29.8231,0.6750,13,6,86,85,0,10,2111.84,0
37,194,-27.5402,0.6250,11,5,85,85,3,3,2067.93,0
38,138,-28.3355,0.6500,11,4,96,96,2,9,2043.51,0
39,71,0.7367,0.7750,8,4,93,92,2,14,2306.53,0
40,256,9.5088,0.8000,8,3,86,85,0,12,2198.52,0
41,402,-31.0526,0.6500,14,6,76,73,1,6,1762.89,1
42,311,-18.6992,0.6750,12,4,78,77,2,9,2096.61,3
43,262,-9.8254,0.7250,10,2,92,92,2,3,2089.40,1
44,205,3.2035,0.7750,7,4,93,92,3,8,2217.02,2
45,358,-45.6800,0.6000,15,5,91,90,1,7,2013.18,0
46,225,-28.6112,0.6750,13,5,85,84,0,4,1967.21,0
47,113,-19.2281,0.6750,11,4,88,88,2,11,2145.81,1
48,123,14.6257,0.7750,8,3,75,75,1,14,2201.99,0
49,274,-19.0625,0.6750,11,5,79,78,2,4,2036.14,2
50,295,-13.9922,0.7000,11,3,87,87,1,10,2121.51,0
51,68,15.9528,0.8000,6,4,91,91,1,13,2337.97,2
52,111,-37.5193,0.6250,14,4,83,83,1,8,2052.69,1
53,164,-8.3399,0.7250,9,5,86,86,2,13,2105.53,0
54,248,-12.7380,0.6500,9,3,82,82,5,4,2078.17,1
55,157,0.0061,0.7250,9,1,85,85,2,11,2052.56,0
