update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,-12.0724,-0.013742,14.670667,0.8599,0.015996,0.1625,3.4471,-0.4721,0.0379,1.0000,0.0268
2,16,-21.6148,-0.140235,18.262084,0.7746,0.014405,0.0428,3.8551,-0.5723,0.0404,0.9867,0.0628
3,24,-20.1824,-0.004500,12.881341,0.6439,0.002087,0.0344,3.3698,-0.5552,0.0412,0.9733,0.0853
4,32,-25.8276,-0.014184,16.657937,0.8052,0.001721,0.0407,3.7225,-0.1382,0.0403,0.9600,0.1423
5,40,-25.0157,-0.169784,15.908287,0.7252,-0.001708,0.0990,3.6337,-0.3111,0.0441,0.9467,0.1855
6,48,-16.9084,-0.003958,15.750018,0.7201,0.003982,0.0439,3.5042,0.0046,0.0435,0.9333,0.2190
7,56,-10.4539,-0.004304,16.896347,0.6681,0.002805,0.0483,3.6247,-0.3080,0.0486,0.9200,0.2548
8,64,-24.8973,-0.012171,17.787598,0.4998,0.003175,0.0376,3.9253,-0.0456,0.0551,0.9067,0.3429
9,72,-7.1490,-0.002022,14.471319,0.5647,0.002746,0.0245,3.3749,0.3286,0.0593,0.8933,0.3385
10,80,-5.2741,-0.003069,17.263715,0.5515,0.000745,0.0384,3.6270,-0.8417,0.0654,0.8800,0.3279
11,88,-18.3193,-0.002856,20.213141,0.5079,0.005959,0.0369,3.9438,-0.3303,0.0695,0.8667,0.3296
12,96,-16.4048,-0.029985,14.110141,0.4320,0.000879,0.0422,3.6036,-1.1898,0.0662,0.8533,0.3960
13,104,-21.2976,-0.002493,16.319983,0.4777,0.004644,0.0233,3.8540,-2.0680,0.0721,0.8400,0.4194
14,112,-19.0925,-0.109521,20.506019,0.5004,0.005231,0.0101,4.0101,-2.1660,0.0670,0.8267,0.3583
15,120,-9.9780,-0.003811,15.702777,0.5057,0.003642,0.0340,3.6761,-1.0615,0.0714,0.8133,0.4538
16,128,-18.9825,-0.001860,13.023553,0.4168,0.001023,0.0196,3.3261,-0.7996,0.0836,0.8000,0.4836
17,136,-18.2164,-0.011648,19.007761,0.3475,0.002780,0.0197,3.8683,0.0932,0.0913,0.7867,0.4828
18,144,-9.9993,-0.003793,14.085650,0.3509,0.001878,0.0082,3.5050,1.1329,0.0841,0.7733,0.4917
19,152,-18.1356,-0.002366,13.835639,0.4105,0.002390,0.0223,3.5326,1.9284,0.0805,0.7600,0.4982
20,160,-11.5361,0.016483,13.617393,0.4293,0.000794,0.0541,3.3427,0.6397,0.0741,0.7467,0.5443
21,168,-17.9811,0.032597,12.574211,0.3840,-0.005826,0.0215,3.4128,0.8948,0.0922,0.7333,0.5113
22,176,-9.7818,-0.077717,16.393036,0.3826,0.018862,0.0920,3.7223,1.2978,0.0867,0.7200,0.4382
