episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,-90.2359,0.7500,6,1,89,87,5,12,2302.52,0
2,202,-117.2030,0.6750,11,6,92,91,1,5,2075.47,1
3,32,-98.1164,0.7750,8,3,96,96,2,12,2269.64,1
4,228,-92.8533,0.7250,8,2,83,83,5,9,2166.74,1
5,343,-125.8694,0.6250,13,5,89,87,3,12,2007.52,0
6,164,-108.9330,0.6750,13,3,79,79,0,6,2151.33,1
7,277,-108.7187,0.6750,10,4,84,84,3,7,2042.61,0
8,205,-138.4149,0.6250,13,5,99,99,2,4,2118.69,0
9,258,-173.4470,0.4500,21,10,81,81,2,2,1749.94,0
10,44,-113.7649,0.6250,10,2,96,96,5,15,2105.09,0
11,184,-118.9817,0.6500,11,7,87,85,4,13,2158.35,0
12,122,-120.7265,0.6500,12,2,93,91,2,9,2091.79,0
13,236,-121.6067,0.6250,12,4,88,88,2,6,2068.85,0
14,328,-128.4485,0.6250,13,7,84,84,4,9,2081.38,1
15,178,-97.6403,0.7250,8,2,90,89,2,18,2305.13,0
16,487,-116.9034,0.6750,12,4,94,92,1,6,2040.14,0
17,174,-133.5653,0.5250,15,4,84,84,5,4,1940.46,0
18,234,-135.8377,0.5750,16,7,85,84,1,5,1942.65,0
19,386,-133.6857,0.6000,14,9,91,91,3,2,2075.51,1
20,425,-153.9636,0.5250,18,8,90,88,0,3,1792.35,0
21,486,-149.1832,0.5750,16,8,93,89,3,6,1958.74,0
22,186,-125.9331,0.6250,14,8,85,85,2,12,2046.39,0
23,41,-114.2036,0.7000,12,5,88,87,0,5,2023.89,0
24,29,-124.5397,0.5750,13,2,97,96,4,9,2063.97,0
25,373,-137.2763,0.6000,14,7,96,96,3,7,2009.28,0
26,309,-152.8431,0.5750,17,6,101,101,2,12,2077.62,0
27,359,-143.9794,0.6000,16,7,93,93,2,8,1963.64,0
28,26,-130.7743,0.6000,14,6,97,96,1,9,2066.39,0
29,212,-168.3429,0.4000,20,8,93,92,5,5,1822.43,0
30,104,-149.4548,0.5250,15,6,98,96,3,9,1948.61,0
31,263,-121.9658,0.6000,13,7,90,89,2,4,1960.35,0
32,22,-120.8576,0.6250,13,4,97,97,2,6,1951.21,0
33,299,-131.7076,0.6250,14,3,92,91,2,3,2161.13,0
34,313,-162.9538,0.5250,19,8,95,95,0,5,1985.03,0
35,221,-123.0364,0.5250,14,5,88,88,3,8,1957.19,0
36,336,-143.1600,0.5750,17,8,88,88,1,8,1875.29,0
37,194,-128.8894,0.5750,12,5,95,94,5,10,2121.33,1
38,138,-140.0408,0.5500,16,5,91,91,1,4,1970.56,0
39,71,-134.1103,0.6250,15,7,97,97,3,10,2055.74,0
40,256,-162.2187,0.4500,19,7,103,103,6,7,1781.89,0
41,402,-161.9630,0.4500,21,8,86,82,1,6,1710.99,0
42,311,-148.3324,0.5500,17,5,98,97,3,11,2097.05,0
43,262,-149.5506,0.4500,17,8,96,93,6,5,1771.49,0
44,205,-126.7555,0.5500,13,5,96,94,7,9,1985.65,0
45,358,-175.5832,0.4000,22,8,92,91,4,4,1713.22,0
46,225,-163.7392,0.4750,18,7,103,103,3,6,1951.49,0
47,113,-129.4973,0.5250,14,5,98,98,5,10,2022.19,0
48,123,-137.2755,0.5000,16,7,106,106,4,14,1858.88,0
49,274,-142.2285,0.4500,16,9,93,93,8,4,1782.43,0
50,295,-191.0625,0.3000,22,13,95,95,5,6,1773.09,0
51,68,-189.5871,0.4250,22,10,108,108,6,4,1928.56,0
52,111,-164.8884,0.4250,20,8,106,106,6,6,1809.87,0
53,164,-141.7577,0.4000,15,4,107,103,7,13,1803.27,0
54,248,-193.7631,0.3250,25,9,98,97,7,4,1667.83,0
55,157,-139.6355,0.5000,17,6,94,91,3,7,1869.24,0
56,282,-166.1981,0.4000,18,7,100,100,8,5,1855.27,0
57,158,-121.4427,0.5750,11,4,106,105,6,18,2274.32,0
58,482,-182.8293,0.3750,24,10,93,91,2,6,1598.73,0
59,347,-201.4990,0.3250,26,9,95,95,3,7,1797.61,0
60,184,-153.0105,0.4500,17,4,100,99,7,13,2013.39,0
61,303,-169.0150,0.4500,21,10,99,97,4,7,1894.32,0
62,459,-192.9877,0.3500,24,10,96,94,3,5,1720.08,0
63,164,-139.4475,0.4750,15,5,107,107,7,8,1987.00,0
64,234,-159.9665,0.4000,18,6,106,105,7,5,1840.58,0
65,163,-117.5389,0.5750,12,4,101,101,10,20,2092.28,0
66,68,-160.4409,0.4750,17,7,107,107,7,8,2026.94,0
67,77,-177.0958,0.3500,21,8,109,109,10,7,1827.12,0
68,274,-198.1429,0.3250,24,10,97,96,5,3,1979.29,0
69,100,-137.0100,0.5000,15,2,104,104,5,13,1984.65,0
70,192,-156.6368,0.4750,18,7,103,102,5,7,1893.22,0
71,414,-166.7420,0.3500,20,6,99,98,7,8,1798.10,0
72,176,-158.0578,0.4500,18,7,103,102,9,12,1947.93,0
73,115,-151.7691,0.4250,17,5,99,99,7,11,1894.01,0
74,360,-196.5499,0.3250,25,10,88,87,3,5,1687.07,0
75,303,-186.1778,0.3250,22,7,100,100,7,4,1730.47,0
76,65,-169.0139,0.4250,22,11,95,95,1,3,1837.53,0
77,138,-178.9747,0.3500,21,6,110,109,9,8,1672.83,0
78,81,-188.9175,0.3500,24,7,108,108,8,11,1915.46,0
79,200,-161.3753,0.4250,20,10,98,98,5,9,1818.37,0
80,45,-147.9126,0.4500,18,5,106,106,3,11,1776.84,0
81,308,-172.3848,0.4250,22,7,95,95,5,5,1791.88,0
82,489,-187.7056,0.3500,25,9,107,103,4,3,1579.85,0
83,385,-178.2093,0.2750,22,8,98,96,7,7,1479.34,0
84,406,-221.7063,0.2000,29,11,95,95,6,1,1431.38,0
85,338,-179.7712,0.3500,22,10,105,104,7,3,1604.22,0
86,322,-159.7446,0.4000,19,7,94,94,3,5,1907.02,0
87,98,-175.2987,0.3500,21,7,109,108,7,7,1826.50,0
88,173,-164.8896,0.3250,19,8,102,102,8,6,1730.22,0
89,305,-173.6684,0.3750,23,13,98,98,5,8,1684.21,0
90,395,-217.6694,0.2250,31,11,87,86,3,2,1411.39,0
91,244,-186.2241,0.3500,23,9,98,98,7,2,1909.33,0
92,389,-159.2188,0.4000,21,7,95,93,5,7,1696.28,0
93,353,-188.1468,0.3500,25,9,98,98,3,4,1608.67,0
94,219,-173.4835,0.3750,22,7,95,92,4,5,1797.04,0
