update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale
1,4,-99.6022,-0.016466,1.266506,0.8634,0.000385,0.0154,0.9381,-0.4950,0.0397,1.0000
2,8,-120.4840,-0.007768,0.647039,0.8595,0.002702,0.0170,1.0709,-0.1010,0.0382,0.9900
3,12,-131.7300,-0.010819,0.892774,0.9024,0.000159,0.0261,1.2774,-0.1949,0.0362,0.9800
4,16,-116.1497,-0.012079,0.560844,0.8692,0.006555,0.0438,1.0022,-0.1129,0.0373,0.9700
5,20,-139.2631,-0.006748,0.999356,0.8281,0.008992,0.0171,1.3485,-0.1015,0.0378,0.9600
6,24,-128.4649,0.000519,1.253295,0.7492,-0.000184,0.0413,1.2000,-0.1511,0.0342,0.9500
7,28,-141.2183,-0.017613,0.943077,0.8071,0.000091,0.0966,1.3213,-0.2334,0.0411,0.9400
8,32,-140.1553,-0.007172,0.892108,0.7537,0.002850,0.0332,1.2822,-0.5266,0.0374,0.9300
9,36,-140.2145,-0.034541,0.724816,0.5810,0.000796,0.0594,1.2696,-0.5967,0.0464,0.9200
10,40,-141.3148,-0.016301,0.753735,0.5462,0.007355,0.0588,1.2033,-0.8353,0.0465,0.9100
11,44,-146.6504,-0.003541,0.885371,0.6470,0.001068,0.0157,1.2708,-0.8249,0.0376,0.9000
12,48,-151.5238,-0.002861,0.967290,0.6719,0.000031,0.0019,1.3530,-1.1993,0.0421,0.8900
13,52,-171.9416,-0.002516,1.468228,0.6824,0.000578,0.0097,1.6743,-1.2657,0.0393,0.8800
14,56,-160.3386,-0.005704,0.860320,0.6521,0.002773,0.0147,1.2839,-1.4565,0.0385,0.8700
15,60,-164.6954,-0.003446,1.181214,0.5883,0.001580,0.0084,1.4924,-1.5494,0.0481,0.8600
16,64,-165.3542,-0.006880,1.370667,0.5825,0.003643,0.0381,1.6148,-1.3968,0.0479,0.8500
