episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,-38.0415,0.7500,6,1,89,87,5,12,2302.52,0
2,202,-65.5960,0.6750,11,6,92,91,1,5,2075.47,1
3,32,-43.5725,0.7750,8,3,96,96,2,12,2269.64,1
4,228,-47.2145,0.7250,8,2,83,83,5,9,2166.74,1
5,343,-51.4072,0.7250,10,2,81,80,2,12,2183.18,1
6,164,-62.9656,0.6750,13,4,79,79,0,6,2068.62,1
7,277,-86.9224,0.6000,16,6,84,84,1,4,1958.97,0
8,205,-59.3000,0.6500,9,5,81,81,4,4,2242.40,1
9,258,-69.2123,0.7000,12,5,96,96,0,9,2104.12,0
10,44,-49.0453,0.7500,10,3,88,88,2,14,2194.37,0
11,184,-60.3307,0.7250,11,7,89,89,0,11,2185.09,0
12,122,-66.4227,0.6500,11,5,81,81,4,7,2079.01,0
13,236,-78.7798,0.5750,12,5,92,92,4,2,1999.22,0
14,328,-59.2449,0.6500,11,1,85,84,3,10,2048.62,0
15,178,-49.9059,0.7250,9,5,86,85,3,15,2141.08,0
16,487,-83.4552,0.6250,14,9,87,85,2,8,2045.01,0
17,174,-69.7245,0.6750,13,6,86,86,2,3,1984.36,0
18,234,-82.0591,0.6250,14,6,92,92,1,7,2170.73,0
19,386,-117.7995,0.5000,20,6,96,96,2,5,1861.73,0
20,425,-50.6802,0.7500,10,3,87,87,1,13,2140.23,0
21,486,-72.1023,0.6000,13,2,82,77,2,7,2036.49,3
22,186,-44.9260,0.7250,8,2,87,86,2,9,2347.89,0
23,41,-50.4658,0.7250,8,2,101,99,4,12,2305.39,0
24,29,-79.6810,0.6500,13,7,90,89,2,10,2095.21,0
25,373,-76.6251,0.6000,15,3,85,85,0,9,1817.71,0
26,309,-89.5173,0.5750,15,4,86,85,4,7,1889.34,0
27,359,-113.3253,0.5000,19,6,91,91,1,5,1875.52,0
28,26,-67.2524,0.6500,11,3,92,90,4,10,2139.50,0
29,212,-70.2619,0.6500,12,4,90,90,2,11,2061.31,0
30,104,-83.4958,0.6000,14,7,89,89,1,9,2079.81,0
31,263,-67.5761,0.6750,12,4,90,89,2,9,2126.26,0
32,22,-61.5301,0.7250,10,5,103,103,3,6,2196.79,0
33,299,-92.5258,0.6000,16,10,87,87,0,9,1874.53,0
34,313,-83.6329,0.6250,15,6,90,88,0,8,1949.65,0
35,221,-103.8336,0.5500,16,10,89,89,2,7,2061.00,0
36,336,-84.3698,0.6500,13,6,97,95,4,9,2147.55,0
37,194,-64.8062,0.6750,10,6,82,82,6,6,2256.68,0
38,138,-73.4463,0.6500,12,4,93,93,4,7,2141.19,0
39,71,-83.1844,0.6250,14,3,98,98,2,9,2103.12,0
40,256,-90.1491,0.6000,16,5,93,93,1,4,2025.36,0
41,402,-104.1695,0.5250,18,4,98,98,0,4,1712.85,0
42,311,-89.3654,0.6000,15,8,94,94,0,8,1877.06,0
43,262,-57.9314,0.7250,10,6,87,86,3,13,2302.33,0
44,205,-72.0299,0.6500,13,4,86,84,4,11,2005.11,0
45,358,-84.5867,0.5750,14,4,92,91,2,7,1952.36,0
46,225,-63.7038,0.6500,10,3,94,94,4,7,2135.44,0
47,113,-48.1721,0.7500,10,3,89,89,0,12,2084.89,1
48,123,-77.2161,0.6000,12,5,95,95,4,11,2087.21,1
49,274,-62.3887,0.7250,11,6,88,84,2,10,2226.52,0
50,295,-80.6394,0.6500,13,8,93,92,4,9,2078.65,0
51,68,-73.4378,0.6250,11,3,103,103,6,11,2201.74,0
52,111,-78.3788,0.6250,14,5,92,92,0,11,1996.54,0
53,164,-77.2567,0.6000,12,4,92,92,4,16,2165.66,0
54,248,-59.3754,0.7250,11,4,88,88,1,10,2118.23,0
55,157,-74.6242,0.6000,11,6,101,101,5,8,2063.10,0
56,282,-93.1052,0.6000,15,6,97,96,1,5,2173.27,0
57,158,-102.9620,0.5250,17,5,92,92,2,10,1976.29,0
58,482,-105.6560,0.5500,17,7,96,91,3,11,1826.45,0
59,347,-109.7903,0.5000,18,6,90,90,3,6,1874.89,0
60,184,-108.8601,0.4750,15,5,96,96,7,10,2033.38,0
61,303,-86.0339,0.6000,14,7,100,99,2,10,1931.17,0
62,459,-115.8360,0.5000,20,9,86,86,1,3,1725.98,0
63,164,-119.8846,0.4500,18,10,89,89,6,7,1836.00,0
64,234,-90.6908,0.6000,15,8,94,94,1,7,2090.12,0
65,163,-71.1219,0.6750,12,6,98,96,2,20,2155.56,0
66,68,-75.8531,0.6500,13,5,95,95,0,8,2157.29,0
67,77,-80.2378,0.6500,14,7,96,96,0,8,2098.32,0
68,274,-100.8455,0.5000,15,7,94,94,5,6,1947.57,0
69,100,-70.0538,0.6000,10,3,98,97,3,15,2144.50,0
70,192,-73.5664,0.5750,11,6,90,90,4,7,2172.83,1
71,414,-106.6600,0.5250,18,8,100,97,0,7,1707.81,0
72,176,-105.0386,0.5000,15,8,94,94,5,12,2008.38,0
73,115,-111.5118,0.5000,17,6,106,106,3,11,1917.15,0
74,360,-157.5525,0.3500,25,10,95,95,4,6,1704.64,0
75,303,-83.6208,0.6000,13,5,101,99,3,11,2124.93,0
76,65,-92.4133,0.6250,14,6,102,102,6,13,2094.46,0
