episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
1,158,32.0657,0.7500,6,1,89,87,5,12,2302.52,0
2,202,-4.2453,0.6750,11,6,92,91,1,5,2075.47,1
3,32,23.1674,0.7750,8,3,96,96,2,12,2269.64,1
4,228,20.6245,0.7250,8,2,83,83,5,9,2166.74,1
5,343,15.1894,0.7250,10,2,81,80,2,12,2183.18,1
6,164,-0.0433,0.6750,13,4,79,79,0,6,2068.62,1
7,277,-27.4073,0.6000,16,6,84,84,1,4,1958.97,0
8,205,9.3799,0.6500,9,5,81,81,4,4,2242.40,1
9,258,7.5111,0.7250,11,4,88,88,2,9,2117.76,0
10,44,0.0540,0.7000,11,7,86,86,3,8,2098.94,1
11,184,-2.7049,0.6750,12,6,83,83,3,12,2090.63,0
12,122,15.4474,0.7750,9,5,99,99,1,13,2123.97,0
13,236,11.7999,0.7250,10,5,81,81,1,8,2123.34,0
14,328,-13.4389,0.6500,14,5,87,87,1,11,2040.90,0
15,178,9.6126,0.7250,10,5,87,86,4,11,2196.85,0
16,487,-26.0594,0.6000,15,4,88,85,1,13,1967.74,0
17,174,-12.6607,0.6250,13,4,91,91,1,6,2030.15,1
18,234,-32.8090,0.5750,16,7,85,85,1,4,1987.05,0
19,386,-5.6910,0.6750,11,5,96,93,2,11,2069.94,1
20,425,-12.3690,0.6500,13,5,82,82,2,3,2013.21,0
21,486,-26.5775,0.5750,14,6,89,86,3,8,1948.93,0
22,186,-16.9049,0.6000,14,2,85,84,2,4,2019.78,0
23,41,-1.6977,0.6750,12,5,85,85,0,8,2079.18,0
24,29,24.7287,0.7750,8,2,93,92,3,17,2313.71,0
25,373,-34.9257,0.5500,16,7,86,86,1,12,2005.46,0
26,309,-15.7248,0.6250,13,8,82,81,2,7,2008.40,0
27,359,-11.6371,0.6500,13,5,85,85,3,8,1983.67,1
28,26,9.7955,0.7250,10,4,92,91,1,14,2126.05,1
29,212,-15.5507,0.6250,14,5,89,87,1,8,2085.70,0
30,104,1.4006,0.7000,11,6,90,87,0,10,2150.65,1
31,263,-21.4241,0.6250,13,8,90,90,4,6,2000.18,0
32,22,7.5046,0.7000,9,2,96,96,5,10,2207.77,1
33,299,-37.2070,0.5750,16,5,100,98,0,6,2037.53,0
34,313,-24.6926,0.6250,15,4,92,90,2,8,1976.39,0
35,221,-8.3383,0.6000,11,2,93,90,4,4,2190.13,0
36,336,-13.4781,0.6250,14,4,83,81,2,8,1971.07,0
37,194,-28.7078,0.5750,14,6,89,89,4,9,1982.67,1
38,138,3.9246,0.7000,10,6,94,94,4,11,2251.37,0
39,71,12.2429,0.7000,10,2,86,86,2,11,2210.85,0
40,256,-28.9653,0.6000,16,8,80,80,1,5,1980.46,0
41,402,-26.2432,0.6000,13,6,92,89,2,7,1911.62,0
42,311,-29.1873,0.6000,15,7,86,84,1,10,2014.38,0
43,262,-3.3617,0.6500,11,5,90,90,4,5,2207.24,0
44,205,-28.2039,0.6000,14,8,87,87,3,5,1944.34,1
45,358,-39.1129,0.5500,17,6,85,84,0,6,1871.47,0
46,225,-31.4875,0.6000,15,9,94,94,1,6,2044.30,0
47,113,-24.1814,0.6000,14,4,89,89,2,7,1956.99,0
48,123,-7.6487,0.6000,11,2,93,93,2,10,2089.10,0
49,274,-16.5029,0.6500,13,6,98,98,3,7,2123.04,0
50,295,0.8118,0.7250,11,6,91,89,2,11,2092.72,1
51,68,-25.1196,0.6250,14,8,92,92,2,9,2118.03,0
52,111,-5.7927,0.6500,11,5,96,96,2,12,2290.12,0
53,164,-44.4960,0.5500,16,9,90,89,3,7,1967.67,0
54,248,-48.2870,0.5000,17,8,80,76,3,11,1875.33,0
55,157,-23.6269,0.6000,14,5,88,84,5,8,2046.06,0
56,282,-57.5325,0.5000,19,8,82,81,2,7,1768.88,0
57,158,-8.6608,0.6750,12,6,97,97,0,11,2178.89,0
58,482,-26.3331,0.6250,15,6,90,87,2,11,1915.40,0
59,347,-33.3939,0.6000,15,9,93,91,4,11,2013.48,0
60,184,-19.3713,0.6500,13,5,92,91,3,13,2067.08,0
61,303,-2.9675,0.6750,11,3,90,88,2,13,2182.68,0
62,459,-59.3930,0.5000,19,6,86,84,1,7,1638.21,0
63,164,-41.7298,0.5250,18,5,85,85,0,6,1910.00,0
64,234,-17.2899,0.6500,14,5,88,88,2,5,2011.44,0
65,163,-44.2729,0.5000,17,6,87,87,3,7,2088.93,0
66,68,3.7208,0.6750,10,3,90,89,3,12,2134.78,0
67,77,-3.0138,0.6750,12,4,93,93,2,7,2221.64,1
68,274,-7.1074,0.6500,12,3,89,89,3,9,2067.20,0
69,100,-4.0918,0.6750,12,4,90,90,4,6,2251.15,0
70,192,-15.0979,0.6250,12,5,92,92,4,11,2083.18,0
71,414,-44.9745,0.5250,15,7,99,99,4,6,1869.84,0
72,176,-25.0342,0.6250,14,5,95,94,4,8,2041.79,0
73,115,4.1966,0.7000,10,5,95,95,2,19,2159.60,0
74,360,-25.5111,0.5750,14,6,87,85,2,6,1929.21,0
75,303,-56.3498,0.5000,19,7,83,82,1,6,1898.96,0
76,65,-27.2342,0.6000,15,6,91,91,3,10,2178.40,0
77,138,-14.2605,0.6250,12,4,94,92,3,9,2056.10,1
78,81,19.7709,0.7500,8,2,95,95,4,19,2304.79,0
79,200,-31.7372,0.6000,15,7,94,94,1,7,2020.94,0
80,45,12.1817,0.7000,9,3,94,93,4,17,2236.07,0
81,308,-87.0755,0.4000,22,8,89,88,3,4,1949.78,0
82,489,-37.9139,0.5000,15,6,84,83,3,4,1924.84,0
83,385,-49.6632,0.5250,19,5,91,91,0,6,1907.93,0
84,406,-53.1699,0.5250,19,7,84,84,0,4,1736.58,0
85,338,-37.3013,0.5750,16,8,87,87,4,6,1992.26,0
86,322,-34.0351,0.6000,16,7,86,86,1,7,1975.35,0
87,98,3.8270,0.7250,11,4,92,92,4,15,2172.52,0
88,173,-0.9175,0.7000,11,4,94,94,1,7,2040.20,0
89,305,-35.1875,0.6000,16,8,86,85,1,7,1882.79,0
90,395,-78.4859,0.4250,21,10,87,86,1,6,1811.13,0
91,244,-34.0097,0.5500,16,5,84,84,2,4,1885.92,0
92,389,-71.1395,0.4500,20,11,86,85,2,5,1881.84,0
93,353,-38.1119,0.5750,16,5,94,94,2,6,1951.45,0
94,219,-24.3429,0.6000,13,6,95,94,4,8,2083.58,0
95,472,-45.7461,0.5250,17,5,91,88,1,8,1759.43,0
96,110,-12.2545,0.6500,12,6,97,97,3,9,2165.79,0
97,226,-17.8441,0.5750,12,3,95,95,5,4,2102.70,0
98,38,-5.7864,0.6250,12,3,82,81,4,11,2144.39,0
99,247,-1.4041,0.6500,12,3,89,89,2,7,2199.99,0
100,127,-5.3929,0.7000,12,5,94,94,2,10,2140.20,0
101,399,-62.4482,0.5250,19,8,100,99,2,7,1784.70,0
102,240,-1.8994,0.6750,12,6,82,82,2,2,2072.99,0
103,384,-26.7869,0.6000,14,6,95,91,2,13,1985.75,0
104,233,-37.6501,0.5000,15,6,82,82,6,2,1999.76,0
105,294,-11.5594,0.6000,13,3,82,82,4,5,2093.08,1
106,239,4.2434,0.7000,10,3,93,93,4,10,2127.68,0
107,429,-41.2799,0.5500,17,7,87,86,1,9,2024.79,0
108,279,-22.1818,0.5750,13,4,90,89,4,9,2100.50,0
109,417,-17.0303,0.6500,14,5,86,84,1,4,1928.05,1
110,422,-36.7773,0.5500,16,6,86,85,3,2,2007.31,1
111,293,-19.4764,0.6500,14,6,95,95,0,4,2056.19,1
112,331,-28.8068,0.6000,16,6,84,83,1,8,2065.13,0
113,454,-18.3903,0.6000,14,3,90,87,2,9,2030.14,0
114,265,-8.9078,0.6500,13,4,93,93,1,6,2215.31,0
115,254,4.2585,0.6750,10,4,85,85,3,9,2143.81,0
116,309,-12.4001,0.6500,13,4,97,95,2,13,2184.66,0
117,122,-5.0968,0.7000,12,4,91,90,4,9,2120.78,0
118,62,-14.9060,0.6500,13,7,85,83,0,9,1979.92,0
119,235,-20.3143,0.6250,15,7,81,81,0,8,2101.22,0
120,392,-45.2971,0.5500,18,8,83,82,0,3,1861.80,0
121,267,-30.2694,0.6000,16,6,86,86,2,2,1842.30,0
122,127,-11.1931,0.6250,13,4,86,86,1,13,2157.91,0
123,353,-39.2295,0.5500,16,7,85,84,3,9,1953.42,0
124,36,-36.6395,0.5750,15,6,98,98,2,11,2012.73,0
125,176,-5.6092,0.6750,13,5,83,83,1,7,2043.34,0
126,427,-14.6015,0.5750,12,4,87,87,3,8,1958.37,1
127,37,-33.3276,0.5750,15,7,87,86,1,4,1907.41,0
128,433,-35.5690,0.5750,16,6,91,88,1,6,1907.71,0
129,376,-66.6639,0.4750,20,9,86,84,0,3,1741.83,0
130,275,-14.0180,0.6250,14,5,88,88,0,10,2163.67,0
131,137,-10.0885,0.6250,13,3,88,88,1,10,2136.19,0
132,258,-7.2242,0.6250,13,3,81,81,1,4,2145.72,0
133,411,-49.1304,0.5250,17,8,83,83,2,2,1812.96,0
134,490,-46.0054,0.5250,18,9,77,75,1,4,1798.23,0
135,156,-37.5706,0.5750,15,5,94,92,2,10,1941.65,0
136,303,-38.6660,0.6000,16,10,99,99,1,6,2129.75,0
137,44,-26.1471,0.6000,14,7,89,89,3,3,1968.04,1
138,485,-62.5238,0.4500,18,7,89,87,5,11,1793.65,0
139,323,-44.3329,0.5250,18,3,89,89,3,6,1959.32,0
140,145,-19.0809,0.6000,14,6,84,84,1,11,2061.87,0
141,305,-28.0302,0.6250,15,7,96,95,2,3,2064.92,0
142,278,-44.1909,0.5250,17,6,93,93,1,3,2053.65,0
143,198,-29.4999,0.6000,15,7,89,88,3,9,2221.99,0
144,90,-9.8933,0.6500,12,5,89,88,2,8,2166.03,0
145,134,-5.7899,0.6500,12,2,86,85,3,8,2172.18,0
146,258,-14.6511,0.6250,13,6,81,79,2,4,2213.79,0
147,439,-38.0859,0.5500,16,9,82,77,2,9,1984.80,0
148,450,-54.6382,0.5000,19,6,78,77,0,8,1826.12,0
149,399,-44.3324,0.5250,15,8,97,94,3,12,1925.84,0
150,172,-35.7012,0.5750,16,8,81,81,1,5,1839.82,0
151,103,-19.2043,0.6250,14,4,91,91,1,9,2098.08,0
152,288,-37.8191,0.5750,16,6,89,89,2,4,2055.00,0
153,228,-21.4946,0.6250,13,5,88,86,5,9,2119.53,0
154,482,-40.0530,0.5250,16,5,81,77,3,9,1878.46,0
155,456,-32.8485,0.5750,16,5,81,77,2,14,1836.09,0
156,99,12.3494,0.7000,9,3,86,84,4,7,2159.27,0
157,194,-1.4175,0.6250,9,1,91,91,10,15,2154.91,0
158,175,-7.6862,0.6500,12,6,91,91,2,14,2235.41,0
159,208,-30.3545,0.6000,16,6,83,83,1,3,2052.29,0
160,456,-26.6301,0.5750,14,5,81,81,4,11,1859.67,0
161,202,5.7402,0.6750,11,4,75,73,2,13,2288.00,0
162,30,-14.3155,0.6250,13,6,80,80,3,8,2016.46,0
163,268,-30.1005,0.5750,17,7,74,73,1,3,2017.57,0
164,24,10.2038,0.7250,11,2,83,82,1,11,2236.70,0
165,355,-70.0150,0.4750,21,7,81,80,2,6,1855.94,0
166,233,-12.5363,0.6250,13,6,78,78,4,4,2215.57,1
167,395,-34.7661,0.5250,15,6,83,82,3,8,2024.66,0
168,358,-57.8753,0.5000,19,6,84,83,3,7,1877.33,1
169,213,-19.1563,0.6500,14,7,83,82,2,7,2077.51,1
170,201,-12.6769,0.6250,14,2,77,77,3,6,2178.11,1
171,472,-20.2913,0.6250,14,6,82,79,4,14,2047.18,0
172,66,3.5117,0.6750,10,5,78,78,6,9,2184.61,0
173,38,-9.4423,0.6750,13,7,83,83,0,6,2131.91,0
174,421,-50.4738,0.5000,19,3,85,84,1,7,1868.28,0
175,485,6.8766,0.7000,10,6,78,73,2,18,2194.28,0
176,267,-32.7994,0.5750,17,7,74,74,0,4,2098.91,0
177,165,-17.1217,0.6500,13,6,89,86,4,11,2108.29,0
178,422,-30.0909,0.5750,15,5,83,80,2,4,1878.79,1
179,104,-33.0070,0.5500,15,5,83,82,7,6,2027.74,0
180,317,-30.7450,0.6000,15,9,84,82,3,2,2066.78,0
181,303,-23.6117,0.5750,14,5,78,77,5,7,2035.44,0
182,190,-3.6570,0.6500,12,5,82,80,3,8,2077.24,0
183,39,-10.2680,0.6500,13,4,91,90,1,5,2199.89,0
184,190,-18.7805,0.6250,14,6,83,83,1,8,2008.84,0
185,194,23.7681,0.7250,8,4,81,79,3,15,2398.06,0
186,163,-10.0561,0.6500,12,4,88,88,2,14,1966.05,0
187,159,-3.2212,0.6500,13,2,82,81,1,13,2151.63,0
188,279,-3.4023,0.6750,13,4,73,72,2,3,2188.82,0
189,417,-39.1576,0.5250,16,6,77,75,4,12,1936.98,0
190,33,-7.5274,0.6250,12,3,78,78,3,6,2034.20,0
191,438,-15.1215,0.6000,12,6,84,82,5,16,2090.78,0
192,313,-19.8835,0.6250,15,6,82,82,0,5,2042.39,0
193,485,-2.4111,0.6500,11,6,77,75,3,16,2132.23,0
194,42,-13.9174,0.6250,14,1,81,81,4,9,1958.20,0
195,64,-3.9124,0.6000,11,3,76,74,5,8,2141.41,1
196,369,-30.8509,0.5500,16,6,73,72,1,5,1934.95,0
197,178,-25.0903,0.5750,16,3,77,77,2,6,2081.05,0
198,43,1.0580,0.6750,11,4,79,78,2,5,2127.25,0
199,369,-33.8918,0.5750,17,5,80,78,2,7,2008.77,0
200,346,-58.2648,0.4500,19,8,70,67,2,3,1963.54,0
201,402,-14.7956,0.6000,13,4,80,80,3,10,1886.97,0
202,286,-25.8752,0.6250,15,7,79,77,2,5,2046.43,0
203,17,-18.4592,0.6250,15,6,74,74,0,5,1996.81,0
204,182,6.5602,0.7000,11,4,78,78,4,10,2330.54,0
205,358,-61.5045,0.4500,19,8,76,76,3,3,1853.89,0
206,262,-9.6598,0.6500,13,6,75,75,5,7,2193.77,0
207,469,-10.7088,0.6250,14,4,72,70,3,13,1968.19,0
208,15,-47.1985,0.5000,19,6,65,64,1,5,1789.84,0
209,434,-15.0269,0.6250,14,5,80,76,4,13,2193.95,0
210,341,-44.3816,0.5250,18,7,79,79,1,9,1984.76,0
211,81,-26.3175,0.5250,14,2,78,78,6,6,2009.81,0
212,263,-27.2356,0.6250,14,7,88,87,4,5,2117.96,0
213,80,14.3595,0.7000,10,4,75,74,3,13,2208.06,0
214,45,-13.7979,0.5750,12,5,83,83,3,7,2160.75,0
215,351,-40.6396,0.5000,16,3,81,80,7,7,1933.43,0
216,10,-47.1213,0.5250,18,5,79,79,4,11,1909.34,0
217,291,-22.0924,0.6250,15,9,67,67,2,0,2067.09,0
218,181,0.7156,0.6250,11,2,75,75,4,14,2041.10,0
219,100,-7.5721,0.6250,13,4,71,70,4,7,2231.82,0
220,464,-32.3736,0.5750,16,6,81,80,1,8,2060.75,0
221,462,-13.2459,0.5750,14,4,71,68,1,15,2198.50,0
222,181,-33.9230,0.5500,16,8,70,70,3,4,2028.66,0
223,480,-52.8862,0.5250,19,8,76,71,0,9,1892.59,0
224,201,-50.0923,0.5250,19,7,65,65,3,5,1949.82,0
225,220,-10.3721,0.6250,13,4,75,74,3,7,2197.85,0
226,316,-35.0751,0.5750,17,7,73,73,2,7,2024.69,0
227,315,-24.8838,0.5750,15,4,80,80,2,4,2141.58,0
228,170,3.1432,0.6500,11,5,77,76,5,13,2384.56,0
229,15,19.9198,0.7500,9,3,78,78,2,15,2164.40,0
230,209,4.0121,0.6500,11,2,82,79,2,9,2144.11,0
231,257,-35.0106,0.5500,16,5,84,84,3,9,2097.91,0
232,54,-33.9924,0.5500,16,6,74,74,1,3,1887.57,0
233,186,-16.6112,0.6000,14,6,71,70,2,7,1998.61,0
234,369,-35.5674,0.5750,17,8,71,71,1,5,1895.68,0
235,87,-36.9278,0.5250,15,5,81,80,6,7,2012.15,0
236,98,-4.4039,0.6750,12,6,79,77,2,6,2204.40,0
237,388,-60.3672,0.5000,20,10,79,79,0,5,1836.40,0
238,261,-47.0937,0.5500,18,10,77,76,3,1,2053.74,0
239,124,-47.5449,0.4750,17,4,72,72,6,10,1893.82,0
240,33,1.2336,0.6250,11,3,74,74,2,5,2117.22,0
