update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,8.5914,0.004436,8.629936,0.7165,0.003540,0.1081,3.7340,-0.5091,0.0392,1.0000,0.0184
2,16,-9.7828,-0.003062,8.357573,0.6672,0.005093,0.0184,4.0926,-0.1661,0.0377,0.9867,0.0589
3,24,6.1321,-0.004900,7.387607,0.7958,0.006726,0.0476,3.7474,0.0475,0.0393,0.9733,0.0983
4,32,6.6873,-0.125791,7.530005,0.6905,-0.003204,0.0547,3.7788,0.1605,0.0433,0.9600,0.1514
5,40,-11.2449,-0.093269,8.887707,0.6580,-0.000307,0.0545,4.0515,-0.8645,0.0418,0.9467,0.2032
6,48,-1.5848,-0.038975,8.431128,0.6648,0.011325,0.0725,3.9448,-0.5827,0.0423,0.9333,0.2580
7,56,13.2436,-0.110225,6.827197,0.6932,0.008848,0.0293,3.5388,-0.2346,0.0420,0.9200,0.3337
8,64,1.0237,0.097405,8.371641,0.6912,0.015025,0.1353,4.1017,0.1155,0.0427,0.9067,0.3748
9,72,19.8318,0.066803,6.981937,0.7108,-0.000454,0.0840,3.5542,0.2438,0.0419,0.8933,0.4431
10,80,5.8563,-0.003038,8.257860,0.7145,0.002310,0.0447,3.9997,0.3111,0.0387,0.8800,0.4418
11,88,-3.2928,-0.039632,9.936547,0.6288,0.021081,0.0865,4.2678,-0.1845,0.0380,0.8667,0.5156
12,96,-7.5600,0.043864,8.351146,0.6517,0.004348,0.0661,4.0132,-0.1415,0.0405,0.8533,0.5843
13,104,-1.1136,-0.004276,8.752347,0.5330,0.005591,0.0429,4.1106,-1.5888,0.0408,0.8400,0.5854
14,112,-2.1356,0.032448,11.753142,0.6106,0.009370,0.0274,4.0454,-2.3800,0.0377,0.8267,0.6656
15,120,2.9940,-0.005688,9.564583,0.6830,0.005011,0.0439,3.4977,0.1349,0.0413,0.8133,0.7155
16,128,4.5592,-0.323717,7.737369,0.6758,-0.009894,0.0998,3.4087,0.2494,0.0433,0.8000,0.6917
17,136,0.9299,-0.036542,7.234201,0.6054,0.008818,0.0413,3.7017,1.1873,0.0393,0.7867,0.7018
18,144,3.5985,-0.025951,7.561109,0.6033,-0.005184,0.0413,3.7675,1.8897,0.0431,0.7733,0.7070
19,152,6.7141,-0.002520,8.499492,0.6421,0.002967,0.0110,3.9807,2.4789,0.0427,0.7600,0.6783
20,160,8.6317,0.010440,6.816354,0.6162,0.003351,0.0435,3.4569,2.2046,0.0396,0.7467,0.7752
21,168,3.9366,-0.065854,6.103144,0.6059,-0.010894,0.0659,3.3555,2.0198,0.0399,0.7333,0.7673
22,176,2.5134,-0.090956,8.896211,0.5749,-0.000489,0.0446,3.7763,2.8169,0.0405,0.7200,0.7176
23,184,1.3711,0.002125,9.095750,0.6001,0.004409,0.0233,3.7388,2.2793,0.0400,0.7067,0.7182
24,192,11.8784,0.034664,8.435602,0.6198,0.024499,0.0741,3.8586,3.0860,0.0411,0.6933,0.6965
25,200,4.9386,0.057074,7.090291,0.5604,-0.001982,0.0453,3.4447,2.6611,0.0417,0.6800,0.7168
26,208,-1.1038,0.099668,7.890341,0.6112,0.003484,0.0262,3.8635,3.1385,0.0435,0.6667,0.7076
27,216,18.3070,-0.032865,7.671050,0.5054,-0.001471,0.0181,3.5291,2.5664,0.0408,0.6533,0.7253
28,224,0.6887,-0.012841,7.482937,0.4920,0.002844,0.0088,3.7282,2.3502,0.0441,0.6400,0.7357
29,232,6.0249,-0.002944,7.181449,0.5787,0.005273,0.0192,3.7070,3.4886,0.0425,0.6267,0.7046
30,240,6.0773,0.013192,6.039140,0.5322,0.002123,0.0446,3.2134,3.4403,0.0438,0.6133,0.7620
31,248,12.3108,-0.088239,6.191124,0.4584,0.002592,0.0262,3.4224,3.6373,0.0476,0.6000,0.7666
32,256,7.7708,0.100936,6.933799,0.5095,0.002547,0.0093,3.4355,3.9308,0.0513,0.5867,0.7376
33,264,14.7838,0.064331,6.386046,0.4811,0.011159,0.0311,3.4604,2.5646,0.0531,0.5733,0.7489
34,272,-1.4299,0.007307,6.801453,0.5156,0.000963,0.0194,3.3805,2.0170,0.0470,0.5600,0.7689
35,280,7.0950,-0.003529,6.754706,0.5021,0.004649,0.0412,3.2539,2.5072,0.0486,0.5467,0.7890
36,288,5.3706,-0.005087,8.041703,0.5081,0.006100,0.0341,3.6866,2.1621,0.0515,0.5333,0.7550
37,296,23.6383,-0.001959,7.242498,0.4767,0.001832,0.0041,3.2916,2.1069,0.0529,0.5200,0.7747
38,304,14.8061,-0.000523,6.777636,0.4680,0.000180,0.0036,3.2868,1.8689,0.0593,0.5067,0.7937
39,312,1.1205,-0.144581,6.261001,0.4365,-0.000152,0.0182,3.2824,1.6907,0.0633,0.4933,0.7787
40,320,18.4202,-0.036256,6.195410,0.3962,0.001278,0.0053,3.3674,2.1391,0.0713,0.4800,0.7504
41,328,4.3944,-0.000979,6.595896,0.4244,0.001163,0.0129,3.5050,1.7782,0.0673,0.4667,0.7746
42,336,8.6428,0.037078,5.506665,0.3867,-0.000500,0.0034,3.1515,1.8375,0.0627,0.4533,0.7714
43,344,18.4708,-0.002776,6.419499,0.3987,0.000827,0.0129,3.2669,1.6588,0.0724,0.4400,0.7698
44,352,10.1982,-0.000837,6.261856,0.3756,0.000036,0.0004,3.2311,0.7261,0.0891,0.4267,0.7925
45,360,13.9932,-0.001669,6.720538,0.3633,0.001451,0.0053,3.3469,0.8212,0.0875,0.4133,0.7674
46,368,2.7281,-0.066482,6.514176,0.3028,0.000393,0.0012,3.3570,0.7650,0.0981,0.4000,0.7854
47,376,16.7369,0.013052,5.696309,0.3616,0.005183,0.0002,3.1827,2.0029,0.0853,0.3867,0.7641
48,384,10.8749,-0.132564,6.145630,0.3279,-0.000905,0.0026,3.2360,1.7608,0.1081,0.3733,0.7683
49,392,13.6781,0.078069,5.704361,0.3067,-0.001457,0.0013,3.2921,2.3335,0.1085,0.3600,0.7506
50,400,13.3896,-0.054833,5.668155,0.3457,0.000270,0.0045,3.2347,1.2527,0.0958,0.3467,0.7662
51,408,13.1790,0.000452,5.389186,0.3367,0.000487,0.0001,3.1000,1.3084,0.0979,0.3333,0.8034
52,416,-1.3051,-0.145029,6.977659,0.3411,0.003216,0.0195,3.5734,1.4694,0.1177,0.3200,0.7793
53,424,22.6764,-0.033999,6.275861,0.2915,-0.001594,0.0035,3.3911,2.2572,0.1108,0.3067,0.7709
54,432,9.5213,-0.049707,5.866366,0.2914,-0.002043,0.0082,3.3583,2.6891,0.1277,0.2933,0.7801
55,440,11.0788,0.014726,6.103298,0.2919,0.002016,0.0013,3.3194,3.1718,0.1144,0.2800,0.7611
56,448,7.1696,-0.024865,6.362105,0.2873,0.000420,0.0013,3.2196,3.3347,0.1209,0.2667,0.8014
57,456,24.4414,0.037726,4.946611,0.2737,-0.000188,0.0001,3.1020,4.0528,0.1253,0.2533,0.7975
58,464,6.3724,0.080614,5.972130,0.2695,0.000134,0.0012,3.4483,3.8055,0.1330,0.2400,0.7817
59,472,13.1696,0.023314,5.024263,0.2926,0.001684,0.0027,3.0980,3.7542,0.1238,0.2267,0.8081
60,480,17.6950,-0.043234,5.329881,0.2781,0.001417,0.0000,3.2192,3.7777,0.1285,0.2133,0.7817
61,488,8.1758,-0.084910,6.308798,0.2932,0.002358,0.0019,3.5385,4.0562,0.1135,0.2000,0.8049
62,496,13.5304,0.008386,5.196009,0.3259,-0.003233,0.0024,3.2089,4.4442,0.1094,0.1867,0.7712
63,504,7.3665,0.058648,6.242170,0.3162,0.000716,0.0001,3.5636,4.5745,0.1300,0.1733,0.8066
64,512,17.0974,-0.004044,4.763401,0.3090,-0.000275,0.0000,3.1411,4.7638,0.1124,0.1600,0.8264
65,520,7.9428,-0.000280,6.607329,0.3195,0.000149,0.0000,3.6477,4.1800,0.1086,0.1467,0.7965
66,528,8.7322,-0.000055,5.160858,0.3035,0.000110,0.0000,3.2132,4.4775,0.1100,0.1333,0.8286
67,536,20.7999,0.042346,4.532571,0.3062,0.000513,0.0026,3.0006,4.6186,0.1093,0.1200,0.8179
68,544,1.2002,-0.000500,5.422469,0.3408,0.000174,0.0000,3.3100,4.5055,0.1052,0.1067,0.7978
69,552,4.0284,0.054806,4.802103,0.3066,0.000607,0.0000,3.1225,4.3800,0.1041,0.0933,0.8287
70,560,7.1023,0.051773,4.836095,0.3101,0.000227,0.0000,3.2152,4.3924,0.1174,0.0800,0.8239
71,568,9.3915,0.006320,4.668054,0.2839,0.000123,0.0000,3.1933,4.6293,0.1017,0.0667,0.8070
72,576,22.7256,-0.070603,5.565033,0.3083,-0.000255,0.0000,3.3020,4.6468,0.1117,0.0533,0.8182
