update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,8.5914,-0.010610,1.336908,0.7176,0.008173,0.0981,1.2790,-0.5091,0.0392,1.0000,0.0485
2,16,0.2777,-0.004905,0.809244,0.8610,0.003074,0.0244,1.2747,-0.6824,0.0366,0.9867,0.1013
3,24,-10.4976,-0.002864,0.772248,0.8958,0.002273,0.0072,1.2690,-0.3935,0.0379,0.9733,0.2273
4,32,-10.0702,-0.007928,0.804262,0.8691,0.004156,0.0859,1.2470,-0.5377,0.0408,0.9600,0.2507
5,40,-15.6527,0.007610,0.794891,0.7864,0.023217,0.1771,1.2361,-0.4094,0.0394,0.9467,0.3182
6,48,-23.6783,-0.010216,1.037772,0.9204,0.007726,0.1162,1.2667,-0.4820,0.0366,0.9333,0.3848
7,56,-27.5682,-0.005916,0.808067,0.6858,0.002607,0.0756,1.3877,-1.0371,0.0418,0.9200,0.3322
8,64,-26.1424,0.064880,1.030937,0.7498,0.003510,0.0266,1.3801,-0.4743,0.0413,0.9067,0.4321
9,72,-17.4840,-0.004635,0.873679,0.8485,0.003952,0.0497,1.2379,-0.5002,0.0441,0.8933,0.5136
10,80,-14.8680,-0.006004,1.008597,0.7983,0.007881,0.0963,1.2996,0.1660,0.0514,0.8800,0.5021
11,88,-37.0312,-0.002252,0.990626,0.7995,0.002831,0.0272,1.4025,1.0883,0.0580,0.8667,0.5210
12,96,-42.4097,0.045308,1.114861,0.7652,0.001956,0.1627,1.4371,1.1260,0.0570,0.8533,0.5398
13,104,-19.9015,0.018072,1.216510,0.5820,0.002865,0.0227,1.2859,0.8511,0.0676,0.8400,0.6088
14,112,-21.6085,-0.023132,1.079492,0.5814,0.001894,0.0621,1.3330,0.6475,0.0683,0.8267,0.6033
15,120,-15.1317,0.011329,0.776478,0.5394,0.009620,0.0703,1.2257,0.4348,0.0703,0.8133,0.6783
16,128,-25.8049,0.042759,0.784509,0.5309,0.001724,0.0179,1.2451,0.8325,0.0783,0.8000,0.6580
17,136,-33.6709,-0.047806,0.642645,0.4377,0.000751,0.0513,1.2303,0.7231,0.0933,0.7867,0.6594
18,144,-32.9624,-0.004322,0.742498,0.3947,0.001536,0.0341,1.2279,0.8656,0.1321,0.7733,0.6955
19,152,-31.2778,-0.002559,1.022747,0.3485,0.002025,0.0170,1.2798,0.5296,0.1374,0.7600,0.7008
20,160,-18.5169,-0.066775,0.782385,0.2694,0.007155,0.0151,1.2354,0.9044,0.1623,0.7467,0.7593
21,168,-25.4581,-0.071695,0.749138,0.2375,0.002534,0.0095,1.3011,0.4479,0.1573,0.7333,0.7420
22,176,-16.8065,-0.000206,0.773764,0.2299,0.000543,0.0097,1.2558,0.5169,0.1770,0.7200,0.7732
23,184,-20.9102,-0.002038,0.675981,0.2675,0.001570,0.0100,1.1434,0.2574,0.1690,0.7067,0.8103
24,192,-9.3252,-0.065596,0.718852,0.2096,-0.000821,0.0129,1.1959,0.1892,0.1874,0.6933,0.7987
25,200,-20.9101,-0.000642,0.855294,0.2399,-0.000006,0.0017,1.2737,0.1696,0.1794,0.6800,0.7591
