time,nodeId,cpu,ram,bandwidth,energy,runningTasks,active,degraded,linkUp,linkBandwidthMbps,linkLatencyMs,linkPacketLoss,underAttack,willFailSoon
0.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
0.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
0.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
1.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
1.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
1.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
2.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
2.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
2.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
3.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
3.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
3.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
4.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
4.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
4.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
5.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
5.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
5.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,30.0000,20.0000,0,0
6.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
6.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
6.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,30.0000,20.0000,0,0
7.10,0,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
7.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
7.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,30.0000,20.0000,0,0
8.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,1
8.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
8.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,30.0000,20.0000,0,0
9.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,1
9.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
9.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,30.0000,20.0000,0,0
10.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,1
10.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
10.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
11.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,1
11.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
11.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
12.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
12.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
12.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
13.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
13.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
13.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
14.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
14.10,1,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
14.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
15.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
15.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
15.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
16.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
16.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
16.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
17.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
17.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
17.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
18.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
18.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
18.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
19.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
19.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
19.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
20.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
20.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
20.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
21.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
21.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
21.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
22.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
22.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
22.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
23.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
23.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
23.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
24.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
24.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
24.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
