time,deviceId,battery,connected,active,signalQuality,signalNoise,heartbeatStaleness,willFailSoon
0.10,0,98.5000,1,1,95.0022,4.9978,0.0000,0
0.10,1,98.5000,1,1,93.1976,6.8024,0.0000,0
0.10,2,98.5000,1,1,96.4887,3.5113,0.0000,0
0.10,3,98.5000,1,1,95.1504,4.8496,0.0000,0
0.10,4,98.5000,1,1,96.9260,3.0740,0.0000,0
0.10,5,98.5000,1,1,95.7988,4.2012,0.0000,0
0.10,6,98.5000,1,1,93.0680,6.9320,0.0000,0
0.10,7,98.5000,1,1,95.5704,4.4296,0.0000,0
0.10,8,98.5000,0,0,95.0000,5.0000,0.1000,0
0.10,9,98.5000,1,1,95.0841,4.9159,0.0000,0
1.10,0,97.0000,1,1,94.5554,5.4446,0.0000,0
1.10,1,97.0000,1,1,91.8280,8.1720,0.0000,0
1.10,2,97.0000,1,1,98.3057,1.6943,0.0000,0
1.10,3,97.0000,1,1,94.7704,5.2296,0.0000,0
1.10,4,97.0000,1,1,95.5737,4.4263,0.0000,0
1.10,5,97.0000,1,1,96.4151,3.5849,0.0000,0
1.10,6,97.0000,1,1,93.1854,6.8146,0.0000,0
1.10,7,97.0000,1,1,97.4404,2.5596,0.0000,0
1.10,8,98.5000,0,0,95.0000,5.0000,1.1000,0
1.10,9,97.0000,1,1,93.5403,6.4597,0.0000,0
2.10,0,95.5000,1,1,92.8893,7.1107,0.0000,0
2.10,1,95.5000,1,1,92.0677,7.9323,0.0000,0
2.10,2,95.5000,1,1,98.5770,1.4230,0.0000,0
2.10,3,95.5000,1,1,95.5664,4.4336,0.0000,1
2.10,4,95.5000,1,1,96.6031,3.3969,0.0000,0
2.10,5,95.5000,1,1,95.2126,4.7874,0.0000,0
2.10,6,95.5000,1,1,91.4693,8.5307,0.0000,0
2.10,7,95.5000,1,1,95.8825,4.1175,0.0000,0
2.10,8,98.5000,0,0,95.0000,5.0000,2.1000,0
2.10,9,95.5000,1,1,93.8175,6.1825,0.0000,0
3.10,0,94.0000,1,1,91.9962,8.0038,0.0000,0
3.10,1,94.0000,1,1,94.0641,5.9359,0.0000,0
3.10,2,94.0000,1,1,99.5076,0.4924,0.0000,0
3.10,3,94.0000,1,1,94.0731,5.9269,0.0000,1
3.10,4,94.0000,1,1,95.5417,4.4583,0.0000,0
3.10,5,94.0000,1,1,96.5637,3.4363,0.0000,0
3.10,6,94.0000,1,1,92.4515,7.5485,0.0000,0
3.10,7,94.0000,1,1,94.4499,5.5501,0.0000,0
3.10,8,98.5000,0,0,95.0000,5.0000,3.1000,0
3.10,9,94.0000,1,1,95.1198,4.8802,0.0000,0
4.10,0,92.5000,1,1,93.9200,6.0800,0.0000,0
4.10,1,92.5000,1,1,94.7936,5.2064,0.0000,0
4.10,2,92.5000,1,1,98.3245,1.6755,0.0000,0
4.10,3,92.5000,1,1,95.7239,4.2761,0.0000,1
4.10,4,92.5000,1,1,95.7926,4.2074,0.0000,0
4.10,5,92.5000,1,1,96.1328,3.8672,0.0000,0
4.10,6,92.5000,1,1,92.1494,7.8506,0.0000,0
4.10,7,92.5000,1,1,92.9366,7.0634,0.0000,0
4.10,8,98.5000,0,0,95.0000,5.0000,4.1000,0
4.10,9,92.5000,1,1,95.7342,4.2658,0.0000,0
5.10,0,91.0000,1,1,92.9098,7.0902,0.0000,0
5.10,1,91.0000,1,1,95.9264,4.0736,0.0000,0
5.10,2,91.0000,1,1,99.1248,0.8752,0.0000,0
5.10,3,91.0000,1,1,93.7291,6.2709,0.0000,1
5.10,4,91.0000,1,1,95.9045,4.0955,0.0000,0
5.10,5,91.0000,1,1,95.4426,4.5574,0.0000,0
5.10,6,91.0000,1,1,93.2559,6.7441,0.0000,0
5.10,7,91.0000,1,1,93.5888,6.4112,0.0000,0
5.10,8,98.5000,0,0,95.0000,5.0000,5.1000,0
5.10,9,91.0000,1,1,96.6856,3.3144,0.0000,0
6.10,0,89.5000,1,1,93.4476,6.5524,0.0000,0
6.10,1,89.5000,1,1,94.9803,5.0197,0.0000,0
6.10,2,89.5000,1,1,99.1866,0.8134,0.0000,0
6.10,3,89.5000,1,1,92.2894,7.7106,0.0000,1
6.10,4,89.5000,1,1,94.7494,5.2506,0.0000,0
6.10,5,89.5000,1,1,97.1008,2.8992,0.0000,0
6.10,6,89.5000,1,1,94.1915,5.8085,0.0000,0
6.10,7,89.5000,1,1,91.8068,8.1932,0.0000,0
6.10,8,98.5000,0,0,95.0000,5.0000,6.1000,0
6.10,9,89.5000,1,1,97.5386,2.4614,0.0000,0
7.10,0,88.0000,1,1,93.6214,6.3786,0.0000,0
7.10,1,88.0000,1,1,96.6139,3.3861,0.0000,0
7.10,2,88.0000,1,1,98.9294,1.0706,0.0000,0
7.10,3,88.0000,1,1,90.4890,9.5110,0.0000,1
7.10,4,88.0000,1,1,93.1956,6.8044,0.0000,0
7.10,5,88.0000,1,1,97.1304,2.8696,0.0000,0
7.10,6,88.0000,1,1,95.9507,4.0493,0.0000,0
7.10,7,88.0000,1,1,92.2025,7.7975,0.0000,0
7.10,8,98.5000,0,0,95.0000,5.0000,7.1000,0
7.10,9,88.0000,1,1,96.8338,3.1662,0.0000,0
8.10,0,86.5000,1,1,95.2736,4.7264,0.0000,0
8.10,1,86.5000,1,1,95.0186,4.9814,0.0000,0
8.10,2,86.5000,1,1,100.0000,0.0000,0.0000,0
8.10,3,86.5000,1,1,90.5532,9.4468,0.0000,1
8.10,4,86.5000,1,1,92.1304,7.8696,0.0000,0
8.10,5,86.5000,1,1,96.6088,3.3912,0.0000,0
8.10,6,86.5000,1,1,94.2288,5.7712,0.0000,0
8.10,7,86.5000,1,1,94.1243,5.8757,0.0000,0
8.10,8,98.5000,0,0,95.0000,5.0000,8.1000,0
8.10,9,86.5000,1,1,97.0283,2.9717,0.0000,0
9.10,0,85.0000,1,1,95.7001,4.2999,0.0000,0
9.10,1,85.0000,1,1,93.0542,6.9458,0.0000,0
9.10,2,85.0000,1,1,99.8394,0.1606,0.0000,0
9.10,3,85.0000,1,1,89.1912,10.8088,0.0000,1
9.10,4,85.0000,1,1,90.9612,9.0388,0.0000,0
9.10,5,85.0000,1,1,98.4640,1.5360,0.0000,0
9.10,6,85.0000,1,1,93.6034,6.3966,0.0000,0
9.10,7,85.0000,1,1,95.3686,4.6314,0.0000,0
9.10,8,98.5000,0,0,95.0000,5.0000,9.1000,0
9.10,9,85.0000,1,1,96.2402,3.7598,0.0000,0
10.10,0,83.5000,1,1,97.3753,2.6247,0.0000,0
10.10,1,83.5000,1,1,91.5226,8.4774,0.0000,0
10.10,2,83.5000,1,1,100.0000,0.0000,0.0000,0
10.10,3,83.5000,1,1,89.1665,10.8335,0.0000,1
10.10,4,83.5000,1,1,91.8932,8.1068,0.0000,0
10.10,5,83.5000,1,1,99.8908,0.1092,0.0000,1
10.10,6,83.5000,1,1,93.2480,6.7520,0.0000,0
10.10,7,83.5000,1,1,94.5948,5.4052,0.0000,0
10.10,8,98.5000,0,0,95.0000,5.0000,10.1000,0
10.10,9,83.5000,1,1,96.7586,3.2414,0.0000,0
11.10,0,82.0000,1,1,95.4599,4.5401,0.0000,0
11.10,1,82.0000,1,1,92.4516,7.5484,0.0000,0
11.10,2,82.0000,1,1,100.0000,0.0000,0.0000,0
11.10,3,82.0000,1,1,88.5062,11.4938,0.0000,1
