nodeId,time,predicted_failure_risk,prediction_uncertainty
0,9.100000,0.042553,0.000000
1,9.100000,0.059833,0.000000
2,9.100000,0.049275,0.000000
3,9.100000,0.014556,0.000000
4,9.100000,0.059833,0.000000
5,9.100000,0.049286,0.000000
6,9.100000,0.014552,0.000000
7,9.100000,0.042553,0.000000
8,9.100000,0.080386,0.000000
9,9.100000,0.080386,0.000000
0,10.100000,0.059833,0.000000
1,10.100000,0.080386,0.000000
2,10.100000,0.014562,0.000000
3,10.100000,0.042553,0.000000
4,10.100000,0.080386,0.000000
5,10.100000,0.049280,0.000000
6,10.100000,0.059833,0.000000
7,10.100000,0.080386,0.000000
8,10.100000,0.014569,0.000000
9,10.100000,0.014558,0.000000
0,11.100000,0.059833,0.000000
1,11.100000,0.080386,0.000000
2,11.100000,0.014557,0.000000
3,11.100000,0.042553,0.000000
4,11.100000,0.080385,0.000000
5,11.100000,0.049282,0.000000
6,11.100000,0.059833,0.000000
7,11.100000,0.080386,0.000000
8,11.100000,0.014599,0.000000
9,11.100000,0.014572,0.000000
0,12.100000,0.059833,0.000000
1,12.100000,0.080385,0.000000
2,12.100000,0.014568,0.000000
3,12.100000,0.042553,0.000000
4,12.100000,0.080387,0.000000
5,12.100000,0.049286,0.000000
6,12.100000,0.059834,0.000000
7,12.100000,0.080386,0.000000
8,12.100000,0.014574,0.000000
9,12.100000,0.014568,0.000000
0,13.100000,0.059833,0.000000
1,13.100000,0.080385,0.000000
2,13.100000,0.014583,0.000000
3,13.100000,0.042553,0.000000
4,13.100000,0.080385,0.000000
5,13.100000,0.049278,0.000000
6,13.100000,0.059833,0.000000
7,13.100000,0.080385,0.000000
8,13.100000,0.014557,0.000000
9,13.100000,0.014566,0.000000
0,14.100000,0.059833,0.000000
1,14.100000,0.080387,0.000000
2,14.100000,0.014577,0.000000
3,14.100000,0.042553,0.000000
4,14.100000,0.080385,0.000000
5,14.100000,0.049282,0.000000
6,14.100000,0.059833,0.000000
7,14.100000,0.080386,0.000000
8,14.100000,0.014547,0.000000
9,14.100000,0.014575,0.000000
0,15.100000,0.059834,0.000000
1,15.100000,0.080385,0.000000
2,15.100000,0.014577,0.000000
3,15.100000,0.042553,0.000000
4,15.100000,0.080385,0.000000
5,15.100000,0.049271,0.000000
6,15.100000,0.059833,0.000000
7,15.100000,0.080386,0.000000
8,15.100000,0.014556,0.000000
9,15.100000,0.014576,0.000000
0,16.100000,0.059833,0.000000
1,16.100000,0.080386,0.000000
2,16.100000,0.014582,0.000000
3,16.100000,0.042553,0.000000
4,16.100000,0.080386,0.000000
5,16.100000,0.049284,0.000000
6,16.100000,0.059833,0.000000
7,16.100000,0.080387,0.000000
8,16.100000,0.014566,0.000000
9,16.100000,0.014572,0.000000
0,17.100000,0.059833,0.000000
1,17.100000,0.080385,0.000000
2,17.100000,0.014579,0.000000
3,17.100000,0.042553,0.000000
4,17.100000,0.080385,0.000000
5,17.100000,0.049283,0.000000
6,17.100000,0.059834,0.000000
7,17.100000,0.080385,0.000000
8,17.100000,0.014589,0.000000
9,17.100000,0.014579,0.000000
0,18.100000,0.059833,0.000000
1,18.100000,0.080386,0.000000
2,18.100000,0.014554,0.000000
